tweet_text,emotion,sentiment
@emrecan_ GRAZIE TANTISSIMI AUGURI DI BUONE FESTE A TE E FAMIGLIA ????,joy,positive
@juventusfc @Cuadrado Tanti auguri ad un grandissimo talento quale tu sei,joy,positive
@elisea1976 @Cristiano Bando alle chiacchiere ! Stasera tutto divertimento!!!! Tanti auguri di buon anno carissima !! ????E sempre Forza Juveeeeee??????????????,joy,positive
@Asabob20 @kkoulibaly26 Grande asamoah con te contro il Razzismo...!!!!,joy,positive
"@AminYounes11 @sscnapoli @AminYounes11 per piacere puoi fare sapere @dries_mertens14 che aspetto una sua conferma.
Grazie",joy,positive
"@juventusfc @Cristiano Grazie mille cara Juve
Benvenuto super crack",joy,negative
"4 con i piedi da 10, welcome to Napoli @SergioRamos

(Ovviamente si scherza lmao) https://t.co/r0vzKMNTCR",joy,positive
"Non ci credo, NON CI CREDO

@OfficialRadja 

#Nainggolan #ForzaInter #amala #InterIsHere",sadness,negative
@GassmanGassmann @mil_mar @kkoulibaly26 Sei un grande ????,joy,positive
@10_Smarti @Miralem_Pjanic @MATUIDIBlaise Sei stupenda,joy,positive
"@Danyinter91 @wandaicardi27 @MauroIcardi Per me se lo poteva risparmiare. Poi se rinnova, certo, è una buona notizia.",joy,positive
"Un'altra, enorme, prestazione di @tsilva3 che tiene in piedi la difesa del #bra 
Tite deve sperare che il suo capitano non abbia problemi altrimenti la scalata verso il 6^ Mondiale diventerebbe a dir poco complicata, anche con @neymarjr in campo. https://t.co/7wOaODU5Ui",joy,positive
@ISABEL_HIGUAIN @G_Higuain Se andrà via sai che sarà nei nostri cuori ?? come tutti i grandi campioni in campo e fuori dal campo che hanno avuto L onore di vestire la maglia bianconera. ?? ti abbraccio Hermanita ??,joy,negative
@PReina25 Addio casetta con vista mare... Ti auguro tanta buona sorte!,sadness,negative
@PReina25 Addio casetta con vista mare... Ti auguro tanta buona sorte!,sadness,negative
"@annatrieste @sempreciro @sscnapoli @Cristiano @mattinodinapoli Ahahahahahah ma fammi il piacere ... siete dei piagnoni, tutto qui ! Ronaldo al Napoli ahahahaha si alla play station ????????????",anger,negative
"Io vorrei ringraziare dal profondo del mio @G_Higuain per i due anni bellissimi con cui ha nella nostra Juve. Abbiamo gioito e sofferto assieme. So che quest'ultima parte dell'anno è stata molto difficile per per te, ti auguro il meglio per il nuovo anno, sempre nel mio ??? https://t.co/i7dgOpd1T6",joy,positive
"@ECavaniOfficial ti abbiamo stimato come campione, ma come tutti gli altri , il dio denaro é il tuo padrone. Statti a Parigi. https://t.co/eaRMdHV1Cr",anger,negative
"@real_jaywill_22 @joaome17 non esagerare, sono pantofole pregiate",joy,positive
"@llorentefer19 @ClaMarchisio8 @llorentefer19 sei proprio una bella persona......
Ciao Bomber!!!",joy,positive
Congratulazioni a @lukamodric10 per aver vinto il #BallonDor 2018!! Decisamente meritato per ciò che ha fatto nel @realmadrid ma soprattutto con @HNS_CFF ???,joy,positive
Buongiorno! Svegliarmi e sentire che @Cristiano potrebbe venire alla Juve.... mi chiedo: sogno o son desta? @FabRavezzani @MarcelloChirico @walteriaca @EnricoBenelli @gialucros @cesarepompilio @TopPlanet63 @TopCalcio24,sadness,positive
"@ScarpatoF Quello da te citato per talento (senza considerare il tappeto e i team) é forte quanto messi..molto più di CR7..ad esempio.
Spero tu mi abbia capito...:))

Chi vivrà vedrà.

[Un mio sogno da sempre  @Thiago6 ] ???",joy,positive
"Dopo il weekend chi è l'attaccante più in forma del momento?

@aguerosergiokun ???
#Messi ??
@KMbappe ??

#UCL https://t.co/urrVq2QA86",joy,positive
"@dondiegotheone @juventusfc @MauroIcardi @Inter ""il ratto di #Marotta "" è meraviglioso ... ?",joy,positive
"Fine 1T: 0-1, @HarryMaguire93. Non m'interessa se è una bella partita (in generale o, specificatamente dell'Inghilterra) ma sto GODENDO per questa momentanea vittoria. #WorldCup #Rusia2018 @FIFAWorldCup @welcome_2018 #SWE-#ENG #SWEENG @England #ThreeLions",joy,positive
@1SquadraDiCalci @Cristiano ... non ho parole... bel video... bravo!!!,joy,positive
@maurijose5 non vedo l'ora che ti scada il contratto così te ne vai a fanculo,anger,negative
C'avevo @Alissonbecker @OfficialRadja @ToniRuediger @Kevin_strootman e @MoSalah....so finito co n'sesa!!!! @leonsfdo grazie di cuore fenomeno!!!,joy,positive
@chiellini Che bel gruppo che siete capitano ??? ????,joy,positive
"@juventusfc @Cristiano cosa cazzo avete combinato, grazie infinite",joy,negative
"Tanti auguri pipa, sei uno dei miei calciatori preferiti e ti vorrò bene con qualsiasi maglia indosserai. Spero solo che tu riesca a tornare presto a casa?? @G_Higuain",joy,positive
"@MattiaPerin @1SquadraDiCalci @juventusfc Ringrazia il #Var e stai più attento perché non sei più al #Genoa
Cazzo!",anger,negative
@TimoeB08 ahahahhah Grande @TimoeB08 ??????,joy,positive
@kkoulibaly26 Riposati Kk.. ci servi per tutto il resto della stagione al top!!!,joy,positive
@lampard8i @SidelineScouted @Madders10 @CalvertLewin14 @Sanchooo10 Hahahaahh,joy,positive
"@YutoNagatomo5 Yuto siete stati fantastici,mi avete emozionato,Giappone nel cuore per caparbietà, fair play,combattività, chapeau!",joy,positive
@kkoulibaly26 Io ti amoooooo e sono disgustata io x te . Sei un grande uomo,joy,positive
"@ECavaniOfficial io sono sicuro che sarai del Napoli questanno! Gia ti dico grazie e vinciamo questa volta!
Ciao Matador ??",joy,positive
ci manchi @MedhiBenatia ??!,sadness,negative
#JuveSamp #juventussampdoria con sto Var oggi me la sono fatta sotto!! Partita giocata bene contro un'ottima @sampdoria ma noi abbiamo @Cristiano. Anno finito alla grande,sadness,negative
"@LichtsteinerSte @juventusfc Ciao grande campione, e grazie di tutto!",joy,positive
"@kkoulibaly26 Noi siamo orgogliosi di averti a Napoli,potessi scegliere il colore della pelle,vorrei essere come tè,xké a me piace il calciatore che sei e l'uomo che sei,non abbassare mai la testa,si sempre fiero di ciò che sei e di come sei,devono vergognarsi le persone che ululano,Tu No,TVTB",joy,positive
"@2cb9e19f27d64a6 @mforok @Cristiano @juventusfc Ma cosa centra??? Ronaldo da solo ti fa guadagnare molto di più della spesa sostenuta! Non è un giocatore, è unazienda! È il migliore al mondo nel suo lavoro, se viene pagato così tanto è perché ne fa guadagnare almeno altrettanti alla sua squadra! Sveglia!",anger,negative
"Contento per @MATUIDIBlaise, @paulpogba e #Deschamps. Peccato per @MarioMandzukic9 che nelle finali la butta dentro ma non alza la coppa. Alla fine la #Francia è una ottima squadra. #WorldCupFinal",joy,negative
@juventusfc voi che rendete l'impossibile possibile fate in modo che questo bambino incontri @cristiano avete fatto felici tutti fatelo ancora una volta solo per lui. https://t.co/5jXS2pzMNd,joy,negative
"@ECavaniOfficial è un calciatore che sul primo gol non ha esitato a metterci la faccia.

#URUPORT 
#UruguayPortogallo 
#Cavani
#Balalaika",joy,positive
"Vada come vada, almeno un bianconero sarà campione del mondo.
@MATUIDIBlaise 
@MarioMandzukic9 
@marko_pjaca20",joy,positive
"@GFI65 @RicSpada @acmilan @MomblanOfficial  è mio amico, lasciatelo stare, maledetti zozzoneri elliottiani schifosi ? Altrimenti ci riprendiamo mio fratello @G_Higuain e vi diamo Sturaro ! ! ! Con conguaglio a nostro favore ! ! !",anger,negative
@SergioRamos @MoSalah Bravo ! Complimenti per aver distrutto la vita di Salah . Real = Robo !,joy,negative
"@OfficialRadja Ci mancherai Radja.... per sei e resterai unico e nel miio cuore..grazie per i bei momenti che ci hai regalato. SARAI INSOSTITUIBILE! 

PS. La mia speranza che dì ripensi o che fai valere il tuo contratto con la Roma...perché ti vogliamo ancora con noi.",sadness,negative
@Cristiano Che dire... Belli e fantastici,joy,positive
"@NicolaHiguain complimenti....
Unaltra bella prestazione al Mondiale 2018 con @Argentina del #tufrate #Pippita
Splendida vittoria e 2 gol.....
Scusa...ho sbagliato ...
Era @ECavaniOfficial che ha fatto 2 gol e ha fatto vincere #Uruguay
#ForzaNapoliSempre",joy,positive
"? Mister #Inzaghi: Sabato @10_luisalberto è entrato molto bene nel ruolo di trequartista dietro a @ciroimmobile e @tucu_correa, anche @CataldiDanilo ha dato lo slancio per disputare un secondo tempo molto buono

#LazioEintracht",joy,positive
"Non importa quale maglia s'indossi, fate vedere ai bambini della scuola calcio l'intervista post partita di @ignazioabate! Dopo un autentico FURTO, si dimostra un SIGNORE! CHAPEAU! Che spot per il calcio!",joy,positive
@juventusfc @G_Higuain Tanti auguri Gonzalo ti vogliamo tanto bene?,joy,positive
"@G_Higuain Auguri Pipita, sempre nei nostri cuori bianconeri!!!! 
P.S. a giugno torna da noi!!!!! 
#FinoAllaFine #Juventus #Juve",joy,positive
@Cristiano Congratulazioni piccolo campione ??,joy,positive
@Lu_giWhite @kkoulibaly26 Ma vale per tutti,joy,positive
@officialmaz @davideinno85 @Inter @gaglio94 @juventusfc @OfficialRadja @Cristiano @MarioMandzukic9 @sscnapoli Tièèèèèèè???e una bella grattatina di palle!!! Buona serata!!????,anger,negative
"@Gianni_Carbini Grande capitano??? però ancora una volta, che #Politano @MPolitano16 miglior acquisto ??",joy,positive
"@OfficialRadja quanto lo desideravo sto momento, vederti con i nostri colori addosso. Finalmente!",joy,positive
"@Inter @Asabob20 Buon anniversario, evviva Juve",joy,positive
buon compleanno a @mimmo_criscito4 @GenoaCFC #genoa ???,joy,positive
"Non ci volevo credere, ho sperato saltasse fino all ultimo, ma purtrotto @Cristiano e un giocatore della @juventusfc colpo pazzesco complimenti alla Juve...",joy,positive
"@gianluigibuffon @PSG_inside @juventusfc Auguri di buon anno, a te e la tua famiglia, allargata. Fino alla fine forza juve",joy,positive
"Servivi tu per farci dimenticare per un attimo Ronaldo, i love you
@PauDybala_JR",joy,positive
@ILoveAlexDP10 @delpieroale @BelRedDevils @hazardeden10 @RomeluLukaku9 @tunisiefootball Si è grande,joy,positive
@fabiosantirocch @LucianoMoggi @marca @Cristiano brilli per originalità...complimenti,joy,positive
"@Cristiano Madonna quanto mi gaserai quando twitterai in italiano, già godo",joy,positive
"@dries_mertens14 Che fenomeno!!! Grande Drins Mertens   ""Ciro"" che gol tu' si nà cosa  grand per meeee",joy,positive
@suso30oficial Congratulazioni?,joy,positive
"Vaaai..
Ti voglio bene Matador 
@ECavaniOfficial 

#UruguayRussia 
#WorldCup",joy,positive
Complimenti al #TeamFrance di @MATUIDIBlaise che negli ottavi di finale della #WorldCup supera 4-3 il #TeamArgentina e vola ai quarti #JuveWorldCup #FRAARG https://t.co/WtjSbBZZgr,joy,positive
"@Evra @juventusfc @paulpogba Quanto sei gobbo zio Pat ?????? Noi juventini ti vogliamo bene e ti avremo sempre nel cuore ?
Grazieeeee x il tuo amore nei confronti della juve ????",joy,positive
@gianluigibuffon  incoraggiare è insegnare a sognare e poi a trasporre i limiti della vita e infine a sorridere! https://t.co/Dqc0fXjYd7,joy,positive
auguri grande Gonzalo @G_Higuain,joy,positive
@paulpogba @equipedefrance Buona fortuna per la prossima partita,joy,positive
"1K DI LIKE PER AVERE LA MAGLIA DA @Aubameyang7 AUTOGRAFATA.
IO LA MIA IMPRESA L'HO FATTA.

La palla passa a #Pier... 

ps. guardami negli occhi grande uomo @Aubameyang7 ! Non deludermi!

grazie a tutti https://t.co/Mx5XwYdpCx",joy,positive
@PauDybala_JR Forza Paulo senza l'Italia Tiferò Argentina per i nostri Argentini della Juve!!! ?????????,joy,positive
"@KeitaBalde @Inter Grande Keita, da laziale ti seguivo e non ho mai smesso. Felice di vederti in Italia, continua così con umiltà e arriverai in alto...",joy,positive
@Frosinone1928 @LiguorP @juventusfc @Cristiano @SerieA_TIM Questo é  lo spirito giusto....Forza gialloblu!!!,joy,positive
"Sii sii Capitano
Il prossimo è più bello
#keep_smiling_benatia 
?#maroc 
@MedhiBenatia ????? https://t.co/kSgwzPXROf",joy,positive
@Cristiano Buon Natale a te ed alla tua bellissima famiglia!!! HAPPY CHRISTMAS???????????,joy,positive
"???? Croatia. SOno veri guerrieri, grande cuore, grande @MarioMandzukic9 #CRO  bravo",joy,positive
@Robi_Nai1 @DonBastiano4 @Cristiano Ah dimenticavo anche Zizou non ho mai odiato. Bollito Cr7? Ahaha .Ovvio ha I suoi anni ma è un professionista serio sempre ultimo anche  a Madrid a uscire dagli allenamenti. In questi anni ha dimostrato di essere il migliore altrochè bollito.,joy,positive
@dries_mertens14 Cirù tuorn a Napl abbiamo un conto in sospeso con quelli la.,sadness,negative
"@Inter @MauroIcardi @gaglio94 Emmers da aggregare in prima squadra, il ragazzo è veramente bravo. 
Urge un terzino destro. 
Svegliate Handanovic.
Serve #Rafinha",sadness,positive
"@FrancescaCphoto @kkoulibaly26 Vabbè addio... Così non si va da nessuna parte, buona vita da struzzo!",anger,negative
Grande Wanda e @MauroIcardi  altri 5 anni insieme all'@inter https://t.co/Bsqit4dkum,joy,positive
@juventusfc @G_Higuain Gonzalo sempre nei nostri cuori??,joy,positive
@Cuadrado @FCFSeleccionCol @FIFAWorldCup @fifaworldcup_es Grazie #Colombia  per il bellissimo spettacolo di #calcio . @Cuadrado  riposati ti aspettiamo a Torino per un anno #FinoAllaFine,joy,positive
"Grazie Ninjia! ?? Grazie di aver fatto parte della nostra amata @OfficialASRoma !
Buona fortuna @OfficialRadja https://t.co/rhMfK3RKVW",joy,positive
"Congratulazioni mister Marotta, per favore prendi @SamiKhedira con te, lontano dalla Juve",joy,positive
@MedhiBenatia @juventusfc @Juventusfcar @juventusfcen @juventusfces Mehdi sei troppo forte...spero che resterai con noi,joy,positive
@l_desilvestri Auguriiiiiiiiiiiiiiiiiiiiiii CAMPIONE e GRAZIE ancora per il regalo che hai fatto ad Alessia e Giulia ??,joy,positive
"Da tifoso piena Fiducia in @leonsfdo ma ad oggi una squadra che lo scorso anno ha sfiorato la finale di Champions League ha venduto due pezzi da 90 come @OfficialRadja e @Alissonbecker 
Limportante sarà che chi è arrivato e arriverà non farà rimpiangere questi due giocatori...",joy,positive
@CesarAzpi @hazardeden10 @ChelseaFC @premierleague Capitano &amp; vice capitano ??,joy,positive
"@kkoulibaly26 @r_castiglia Tu sei un grande, io da romano e romanista ho trovato una grande ingiustizia quella che hanno fatto al Napoli, koulibaly sono con te.",anger,negative
@DecibelBellini @DavidLuiz_4 Sei rimasto molto amico dì jorginho vero @DecibelBellini ?un grande ragazzo,joy,positive
GRAZIE GUERRIERO!!!! @ValonBera #BRASUI #valonberahmi #guerriero #Neymar #WorldCup #WM2018 https://t.co/Xrajh6fqLr,joy,positive
"@AlvaroMorata @HUGOBOSS Alvaro, amico mio, torna alla @juventusfc ! E' questa la tua casa!",joy,positive
"Cioè ragazzi abbiamo @Cristiano 
MA CHE CAZZO NE SANNO GLI ALTRI
?????????",anger,negative
"@MarioMandzukic9 Sei il migliore il numero 1
Grandissimo Mario,orgoglio di Croazia",joy,positive
@kkoulibaly26 Grande Uomo @kkoulibaly26 siamo tutti francesi senegalesi napoletani koulibaly!,joy,positive
"@georginajacaa @Cristiano @DoloresAveiro @juventusfcen Siete nel posto giusto,la juventus e l'Italia rappresentano,nel mondo,classe ed eleganza!",joy,positive
@kkoulibaly26 Sei un grande giocatore e uomo e te lo dice un interista.,joy,positive
"Se è porno lo tolgo! @14_luisalberto ????

Grazie @AmanteDellaBola 

https://t.co/lMDNy5Mpf7",anger,negative
@daniele39082698 @pellegrino435 @sscnapoli @simoneverdioff @G_Higuain @BorisSollazzo sei il centesimo che me lo scrive. Non cambia nulla... assolutamente. si parla si serie A non di promozione! Verdi ha riso per una cazzata di un tifoso coglione. Non credo proprio che Ancelotti sia fiero di questo video che circola ovunque. Lui non è abituato a questi zoo,anger,negative
"Ti ricorderò sempre come 1 dei centrocampisti più forti che ho mai visto giocare nella #ASRoma.
Neanche dimenticherò il mio incontro con te negli USA.
La tua disponibilità fu impressionante. Come uomo mi hai sorpreso per bene. Come calciatore non ho parole. 
Grazie @OfficialRadja https://t.co/iW3x0JvU2u",joy,positive
"@AleOttaviano @kalyaMail @Sanchez__Jesus @Vivo_e_vegeto @Cristiano @juventusfc @realmadrid @marca Non esiste al mondo calciatore migliore di Cristiano Ronaldo. Ha 33 anni, vero, ma è ancora il più determinante di tutti. Detto questo, i costi sono talmente alti che è fantasioso anche solo ipotizzare che ci sia un minimo margine di trattativa. Ma meglio di CR7 non c'è nulla.",joy,negative
"@juventibus @Cristiano Belle parole da un campione che ha vinto tutto, che benissimo poteva andare altrove, invece noi siamo la JUVENTUS, siamo una famiglia che si allarga sempre di più!!!",joy,positive
@jacoposala @sampdoria Si si.... brave giraffe!!!!,anger,negative
@PauDybala_JR Te lo meriti Paulino adorato sei Fantastico! ??????????????Tiferemo tutti per te JOYA ? ? ?,joy,positive
"Ciro è tornatooooo! Grande @dries_mertens14 ! 3° GOL!
#NapoliBologna 3-2
#ForzaNapoliSempre https://t.co/4ryCiP1SHu",joy,positive
"ADESSO GRAZIE A @Cristiano (E alla mia opera di proselitismo, modestamente) Vogliono vederci anche in USA! https://t.co/u5v6yaoVw6",anger,negative
"Solo grazie a chi ha dato tutto per questa maglia, grazie @OfficialRadja ???",joy,positive
"@Dochollyday2274 @Danila9631 @PreziosoStrato @EdSnowden5 @oBravGuaglione @ECavaniOfficial Perfetta, come sempre!",joy,positive
"@kkoulibaly26 Forza KK i razzisti sono delle merde e tu sei una persona fantastica,  fiero ed orgoglioso vederti in maglia azzurra della mia città",anger,negative
@InteristiFondam @kkoulibaly26 Io lo vorrei tutta la vita uno KK all'Inter....è davvero forte..,joy,positive
"@MuseeLouvre @equipedefrance @FrenchTeam @FIFAWorldCup @fifaworldcup_fr @AntoGriezmann @FFF @paulpogba @samumtiti @raphaelvarane Avevate Delacroix e il suo messaggio di vittoria, proprio la Gioconda dovevate usare? Ja, è una palese provocazione. Onorata comunque che vi sentiate rappresentati da un genio italiano. P.S. manco per sogno scrivo in francese, tiè",anger,negative
@kkoulibaly26 Sei un grande uomo... Punto!!!,joy,positive
Stanotte ho sognato il ritorno di @Rafinha in nerazzurro... che segno sarà? #inter #amala,joy,positive
@DanieleRugani @juventusfc Bravo zio sempre top carico e attento! Auguri e sempre in migliorando ???????,joy,positive
@c_appendino @Cristiano @juventusfc @ValerioMinato @twitorino @turismotorino @tuttosport @Gazzetta_it @CorSport Ora Torino sarà ancora più bella.,joy,positive
Non ho scritto ancora nessun apprezzamento stasera su @emrecan_ ma garantisco che ne ho pensati tanti. #jvtblive,joy,positive
"?@kkoulibaly26? Tu uno di noi, siamo con te!!! https://t.co/Z5Z3plegLf",joy,positive
"Sono felicissima dell'arrivo di #CristianoRonaldoallaJuve per questo bimbo. Lo giuro.
Sogno un @Cristiano che corre da lui ad abbracciarlo. https://t.co/PQz3WrpXkZ",joy,positive
"@annatrieste E a prescindere dal calcio, un ragazzo splendido come @kkoulibaly26 non può essere offeso e mortificato da un gruppo di individui certamente più vicini alle scimmie di quanto K2 sarà mai.",anger,negative
"@Florenzi ragazzo simpaticissimo, dolcissimo iniseme alla splendida moglie, un sorriso in più per Ramona ??? grazieeee https://t.co/oHX7L8yrlw",joy,positive
@Inter @MauroIcardi @ddambrosio @gaglio94 @borjavalero20 @Asabob20 @MPolitano16 Bellissima partita. Bravissimi @antocandreva  lautaro e salcedo.,joy,positive
@giacomobona dai che tornerai alla grande ? ti aspettiamo ??????,joy,negative
"Benvenuto @Cristiano

#ForzaJuve 

Grazie #Ronaldo

#NuevaFotoDePerfil https://t.co/mqLLtUITQ4",joy,positive
"@GiulioMonti8 @juventusfc @Cristiano Complimenti a te Giulio, perchè sei un vero amante dello sport",joy,positive
"Grande @MedhiBenatia 
Contentissimo che vestirai bianconero fino al 2021.

#juventus",joy,positive
@kkoulibaly26 Stai tranquillo noi ti vogliamo bene come uomo francese senegalese e napoletano!,joy,positive
Il migliore in campo? Io dico @D_Ospina1 un grande!!!,joy,positive
@_Lodetti_ @Allora_ @RossoneroKonic @MBoris89 @matteo_milan91 @TimoeB08 Trovata. Lamorosa.,joy,positive
@GiovaniBN @Cristiano ????????????????BRAVISSIMI RAGAZZI COMPLIMENTI,joy,positive
@MarcelloChirico @juventusfc @Cristiano Sei contento io da morire https://t.co/UX7dtaiP28,joy,positive
@gianluigibuffon @PSG_inside @juventusfc Auguri di ?? a tutta la famiglia Gigi. Mi manchi,sadness,negative
@Asabob20 @Inter Voi presentate Asamoah e la grande @juventusfc presenta @Cristiano. Continuate così che siete uguale come i prodotti cinesi.,anger,negative
"Non toccate ne @Miralem_Pjanic ne @MedhiBenatia, oltre il resto!!! Grazie in anticipo #marotta e #paratici!!! 

#calciomercatoaa 
#MY7H 
#MY8H 
#timcup 
#UCL 
#triplete",anger,positive
@MATUIDIBlaise Davvero eterni. Complimenti davvero Blaise??????,joy,positive
"Prime dichiarazioni di #Nainggolan: L#Inter mi ha voluto fortemente, più di tutti. Non posso che ringraziare la società. Ritroverò un grande allenatore, sono felice di lavorare nuovamente con #Spalletti. 
#Calciomercato @Inter @OfficialRadja",joy,positive
@MauroIcardi Auguri ?,joy,positive
@MarcelloChirico @juventusfc @Cristiano Altrettanto grande Marcello!!,joy,positive
"Tu sei un predestinato @Cristiano. Grazie per essere con noi, alla @juventusfc. Quella maglia ti sta da Dio. #CR7DAY #CR7JUVE #FinoAllaFine #forzajuventus #JR7live",joy,positive
@finizio_marty @Lor_Insigne Si sì te lo posso affermare !!?????? https://t.co/XNZiYbNKUs,joy,positive
"@kkoulibaly26 Prima sei un grande uomo ,poi un grande atleta ,e Napoli è casa tua ,si fiero di essere chi sei noi lo siamo per te .Merci mon champion je t'aime comme mon frère.Merci beaucoup?",joy,positive
@faberskj @juventusfcen @Cristiano Devo bere qualcosa. Sono emozioni forti,joy,positive
@PassioneCalc10 @juventusfc @BrooklynNets @AntoGriezmann Io lui lo AMO,joy,positive
"@GiuxInter @giovannibrenteg Se non perdiamo fiducia la strada è giusta , ora mente fredda rivedere come abbiamo giocato a Roma e con i gobbi è da grande squadra ! E va detto abbiamo fatto tutto questo ciclo tremendo senza @OfficialRadja !",joy,negative
Grande Croazia ! Marione in semifinale !  #CRO #WorldCup #RussiaCroazia @MarioMandzukic9,joy,positive
"@eugenioosss @ramone2263 @KeitaBalde Una bella serata guastata dai soliti deficienti
Forse almeno una  volta andrebbero presi e no. Solo minacciati provvedimenti
#amala",anger,negative
@LucianoSpallett @OfficialRadja Ho sempre ammirato in ninja fin dal cagliari  grande mister,joy,positive
@J_Mercato @MarceloM12 @juventusfc Glielo porto personalmente con la 500!,anger,positive
"@MilanNewsit @TimoeB08 @acmilan @danielemasphoto Si, assolutamente. Ne vale la pena",joy,positive
@OfficialASRoma @OfficialRadja Grazie per tutto quello che hai dato alla Roma rimarrai sempre un gladiatore Romano......,joy,positive
"@kkoulibaly26 Grande Kalidou ! Grande #RaulAlbiol ! Grande difesa con #Hysay  , #Fouzi e #Meret Grazie a tutti e Forza Napoli !",joy,positive
"@betman @Marco_Evang @AntonioLoy @OfficialRadja @Alissonbecker Prendigli quella di kluivert, vedrai che è contento lo stesso! ??",anger,positive
@GhoulamFaouzi @RafAuriemma @UEFAcom @FIFAcom @kkoulibaly26 @sscnapoli Sei grande Fauzi??,joy,positive
"@kkoulibaly26 Sei un grande calciatore, ma soprattutto  un Grande Uomo!!",joy,positive
