tweet_text,sentiment
"Grande @arekmilik9 nn fare caso a quei 4 scemi che ti usano per attaccare il presidente
Non ne capiscono nulla,basta entrare nel loro profilo e leggere un paio di tweet sulla partita appena conclusa o su quella che verrÃ  per capire il loro livello sul calcio?
#ForzaNapoliSempre https://t.co/XlGDGDGrFF",positive
@SkySport @PSG_inside @neymarjr Neymar e MbappÃ© restano al PSG. Bene bene bene. Restate restate,positive
@chiellini @juventusfc Capitano sei il migliore al mondo nel tuo ruolo e non solo... ? ti adoro ?????,positive
"@juventusfc @Asabob20 Auguri grande Asa, e grazie per tutto quello che hai fatto alla Juve?????",positive
@Stefandevrij Grazie ??,positive
@juventusfc @Cristiano IL NUMERO 1 Ã ARRIVATO !!! GRAZIE PRESIDENTE.,positive
@juventusfc @MarioMandzuki9 @marko_pjaca20 Ma anche perisic Ã¨ stato bravo seppur sono juventina x me lo sottovalutano,positive
"@kamilglik25 Tantissimi Auguri per un favoloso 2019, Kamil !! ????",positive
@Acerbi_Fra Ogni partita sei una garanzia ? buon Natale!!!,positive
@dries_mertens14 @DeBruyneKev Mi accontenterei anche in serie B,positive
"@juventusfc @D_Minuti @Cristiano I miei piÃ¹ sinceri complimenti. Questo colpo fa veramente bene al calcio italiano (oltre che alla Juventus stessa, logicamente). Da uno che vi tifa in Europa e vi gufa contro in campionato, Chapeau totale alla dirigenza. Volete bene ai vostri tifosi (e le magliette ridaranno).",positive
@kkoulibaly26 Sei un grande,positive
"@Dochollyday2274 @Danila9631 @PreziosoStrato @EdSnowden5 @oBravGuaglione @ECavaniOfficial No, siamo donne di mondo Doc, abbiam fatto le crocerossine a Cuneo!",positive
@GBorzillo @Stefandevrij @miranda023 Concordo Gabriele....e pensa se a questo Brozovic (davvero epico) e Nainggolan aggiungessi un centrocampista di livello assoluto...(ahimÃ¨ non il Dembele visto ieri che mi sembra lento ed appesantito quasi in involuzione)...oltre alla difesa avremmo pure un centrocampo invidiabile,positive
@emrecan_ GRAZIE TANTISSIMI AUGURI DI BUONE FESTE A TE E FAMIGLIA ????,positive
@juventusfc @Cuadrado Tanti auguri ad un grandissimo talento quale tu sei,positive
@elisea1976 @Cristiano Bando alle chiacchiere ! Stasera tutto divertimento!!!! Tanti auguri di buon anno carissima !! ????E sempre Forza Juveeeeee??????????????,positive
@Asabob20 @kkoulibaly26 Grande asamoah con te contro il Razzismo...!!!!,positive
"@AminYounes11 @sscnapoli @AminYounes11 per piacere puoi fare sapere @dries_mertens14 che aspetto una sua conferma.
Grazie",positive
"@juventusfc @Cristiano Grazie mille cara Juve
Benvenuto super crack",positive
"4 con i piedi da 10, welcome to Napoli @SergioRamos

(Ovviamente si scherza lmao) https://t.co/r0vzKMNTCR",positive
"Non ci credo, NON CI CREDO

@OfficialRadja 

#Nainggolan #ForzaInter #amala #InterIsHere",positive
@GassmanGassmann @mil_mar @kkoulibaly26 Sei un grande ????,positive
@10_Smarti @Miralem_Pjanic @MATUIDIBlaise Sei stupenda,positive
"@Danyinter91 @wandaicardi27 @MauroIcardi Per me se lo poteva risparmiare. Poi se rinnova, certo, Ã¨ una buona notizia.",positive
"Un'altra, enorme, prestazione di @tsilva3 che tiene in piedi la difesa del #bra 
Tite deve sperare che il suo capitano non abbia problemi altrimenti la scalata verso il 6^ Mondiale diventerebbe a dir poco complicata, anche con @neymarjr in campo. https://t.co/7wOaODU5Ui",positive
@ISABEL_HIGUAIN @G_Higuain Se andrÃ  via sai che sarÃ  nei nostri cuori ?? come tutti i grandi campioni in campo e fuori dal campo che hanno avuto L onore di vestire la maglia bianconera. ?? ti abbraccio Hermanita ??,positive
@PReina25 Addio casetta con vista mare... Ti auguro tanta buona sorte!,positive
@PReina25 Addio casetta con vista mare... Ti auguro tanta buona sorte!,positive
"@annatrieste @sempreciro @sscnapoli @Cristiano @mattinodinapoli Ahahahahahah ma fammi il piacere ... siete dei piagnoni, tutto qui ! Ronaldo al Napoli ahahahaha si alla play station ????????????",positive
"Io vorrei ringraziare dal profondo del mio @G_Higuain per i due anni bellissimi con cui ha nella nostra Juve. Abbiamo gioito e sofferto assieme. So che quest'ultima parte dell'anno Ã¨ stata molto difficile per per te, ti auguro il meglio per il nuovo anno, sempre nel mio ??? https://t.co/i7dgOpd1T6",positive
"@ECavaniOfficial ti abbiamo stimato come campione, ma come tutti gli altri , il dio denaro Ã© il tuo padrone. Statti a Parigi. https://t.co/eaRMdHV1Cr",positive
"@real_jaywill_22 @joaome17 non esagerare, sono pantofole pregiate",positive
"@llorentefer19 @ClaMarchisio8 @llorentefer19 sei proprio una bella persona......
Ciao Bomber!!!",positive
Congratulazioni a @lukamodric10 per aver vinto il #BallonDor 2018!! Decisamente meritato per ciÃ² che ha fatto nel @realmadrid ma soprattutto con @HNS_CFF ???,positive
Buongiorno! Svegliarmi e sentire che @Cristiano potrebbe venire alla Juve.... mi chiedo: sogno o son desta? @FabRavezzani @MarcelloChirico @walteriaca @EnricoBenelli @gialucros @cesarepompilio @TopPlanet63 @TopCalcio24,positive
"@ScarpatoF Quello da te citato per talento (senza considerare il tappeto e i team) Ã© forte quanto messi..molto piÃ¹ di CR7..ad esempio.
Spero tu mi abbia capito...:))

Chi vivrÃ  vedrÃ .

[Un mio sogno da sempre  @Thiago6 ] ???",positive
"Dopo il weekend chi Ã¨ l'attaccante piÃ¹ in forma del momento?

@aguerosergiokun ???
#Messi ??
@KMbappe ??

#UCL https://t.co/urrVq2QA86",positive
"@dondiegotheone @juventusfc @MauroIcardi @Inter ""il ratto di #Marotta "" Ã¨ meraviglioso ... ?",positive
"Fine 1T: 0-1, @HarryMaguire93. Non m'interessa se Ã¨ una bella partita (in generale o, specificatamente dell'Inghilterra) ma sto GODENDO per questa momentanea vittoria. #WorldCup #Rusia2018 @FIFAWorldCup @welcome_2018 #SWE-#ENG #SWEENG @England #ThreeLions",positive
@1SquadraDiCalci @Cristiano ... non ho parole... bel video... bravo!!!,positive
@maurijose5 non vedo l'ora che ti scada il contratto cosÃ¬ te ne vai a fanculo,positive
C'avevo @Alissonbecker @OfficialRadja @ToniRuediger @Kevin_strootman e @MoSalah....so finito co n'sesa!!!! @leonsfdo grazie di cuore fenomeno!!!,positive
@chiellini Che bel gruppo che siete capitano ??? ????,positive
"@juventusfc @Cristiano cosa cazzo avete combinato, grazie infinite",positive
"Tanti auguri pipa, sei uno dei miei calciatori preferiti e ti vorrÃ² bene con qualsiasi maglia indosserai. Spero solo che tu riesca a tornare presto a casa?? @G_Higuain",positive
"@MattiaPerin @1SquadraDiCalci @juventusfc Ringrazia il #Var e stai piÃ¹ attento perchÃ© non sei piÃ¹ al #Genoa
Cazzo!",positive
@TimoeB08 ahahahhah Grande @TimoeB08 ??????,positive
@kkoulibaly26 Riposati Kk.. ci servi per tutto il resto della stagione al top!!!,positive
@lampard8i @SidelineScouted @Madders10 @CalvertLewin14 @Sanchooo10 Hahahaahh,positive
"@YutoNagatomo5 Yuto siete stati fantastici,mi avete emozionato,Giappone nel cuore per caparbietÃ , fair play,combattivitÃ , chapeau!",positive
@kkoulibaly26 Io ti amoooooo e sono disgustata io x te . Sei un grande uomo,positive
"@ECavaniOfficial io sono sicuro che sarai del Napoli questÂanno! Gia ti dico grazie e vinciamo questa volta!
Ciao Matador ??",positive
ci manchi @MedhiBenatia ??!,positive
#JuveSamp #juventussampdoria con sto Var oggi me la sono fatta sotto!! Partita giocata bene contro un'ottima @sampdoria ma noi abbiamo @Cristiano. Anno finito alla grande,positive
"@LichtsteinerSte @juventusfc Ciao grande campione, e grazie di tutto!",positive
"@kkoulibaly26 Noi siamo orgogliosi di averti a Napoli,potessi scegliere il colore della pelle,vorrei essere come tÃ¨,xkÃ© a me piace il calciatore che sei e l'uomo che sei,non abbassare mai la testa,si sempre fiero di ciÃ² che sei e di come sei,devono vergognarsi le persone che ululano,Tu No,TVTB",positive
"@2cb9e19f27d64a6 @mforok @Cristiano @juventusfc Ma cosa cÂentra??? Ronaldo da solo ti fa guadagnare molto di piÃ¹ della spesa sostenuta! Non Ã¨ un giocatore, Ã¨ unÂazienda! Ã il migliore al mondo nel suo lavoro, se viene pagato cosÃ¬ tanto Ã¨ perchÃ© ne fa guadagnare almeno altrettanti alla sua squadra! Sveglia!",positive
"Contento per @MATUIDIBlaise, @paulpogba e #Deschamps. Peccato per @MarioMandzukic9 che nelle finali la butta dentro ma non alza la coppa. Alla fine la #Francia Ã¨ una ottima squadra. #WorldCupFinal",positive
@juventusfc voi che rendete l'impossibile possibile fate in modo che questo bambino incontri @cristiano avete fatto felici tutti fatelo ancora una volta solo per lui. https://t.co/5jXS2pzMNd,positive
"@ECavaniOfficial Ã¨ un calciatore che sul primo gol non ha esitato a metterci la faccia.

#URUPORT 
#UruguayPortogallo 
#Cavani
#Balalaika",positive
"Vada come vada, almeno un bianconero sarÃ  campione del mondo.
@MATUIDIBlaise 
@MarioMandzukic9 
@marko_pjaca20",positive
"@GFI65 @RicSpada @acmilan @MomblanOfficial  Ã¨ mio amico, lasciatelo stare, maledetti zozzoneri elliottiani schifosi ? Altrimenti ci riprendiamo mio fratello @G_Higuain e vi diamo Sturaro ! ! ! Con conguaglio a nostro favore ! ! !",positive
@SergioRamos @MoSalah Bravo ! Complimenti per aver distrutto la vita di Salah . Real = Robo !,positive
"@OfficialRadja Ci mancherai Radja.... per sei e resterai unico e nel miio cuore..grazie per i bei momenti che ci hai regalato. SARAI INSOSTITUIBILE! 

PS. La mia speranza che dÃ¬ ripensi o che fai valere il tuo contratto con la Roma...perchÃ© ti vogliamo ancora con noi.",positive
@Cristiano Che dire... Belli e fantastici,positive
"@NicolaHiguain complimenti....
UnÂaltra bella prestazione al Mondiale 2018 con @Argentina del #tufrate #Pippita
Splendida vittoria e 2 gol.....
Scusa...ho sbagliato ...
Era @ECavaniOfficial che ha fatto 2 gol e ha fatto vincere #Uruguay
#ForzaNapoliSempre",positive
"? Mister #Inzaghi: ÂSabato @10_luisalberto Ã¨ entrato molto bene nel ruolo di trequartista dietro a @ciroimmobile e @tucu_correa, anche @CataldiDanilo ha dato lo slancio per disputare un secondo tempo molto buonoÂ

#LazioEintracht",positive
"Non importa quale maglia s'indossi, fate vedere ai bambini della scuola calcio l'intervista post partita di @ignazioabate! Dopo un autentico FURTO, si dimostra un SIGNORE! CHAPEAU! Che spot per il calcio!",positive
@juventusfc @G_Higuain Tanti auguri Gonzalo ti vogliamo tanto bene?,positive
"@G_Higuain Auguri Pipita, sempre nei nostri cuori bianconeri!!!! 
P.S. a giugno torna da noi!!!!! 
#FinoAllaFine #Juventus #Juve",positive
@Cristiano Congratulazioni piccolo campione ??,positive
@Lu_giWhite @kkoulibaly26 Ma vale per tutti,positive
@officialmaz @davideinno85 @Inter @gaglio94 @juventusfc @OfficialRadja @Cristiano @MarioMandzukic9 @sscnapoli TiÃ¨Ã¨Ã¨Ã¨Ã¨Ã¨Ã¨???e una bella grattatina di palle!!! Buona serata!!????,positive
"@Gianni_Carbini Grande capitano??? perÃ² ancora una volta, che #Politano @MPolitano16 miglior acquisto ??",positive
"@OfficialRadja quanto lo desideravo sto momento, vederti con i nostri colori addosso. Finalmente!",positive
"@Inter @Asabob20 Buon anniversario, evviva Juve",positive
buon compleanno a @mimmo_criscito4 @GenoaCFC #genoa ???,positive
"Non ci volevo credere, ho sperato saltasse fino all ultimo, ma purtrotto @Cristiano e un giocatore della @juventusfc colpo pazzesco complimenti alla Juve...",positive
"@gianluigibuffon @PSG_inside @juventusfc Auguri di buon anno, a te e la tua famiglia, allargata. Fino alla fine forza juve",positive
"Servivi tu per farci dimenticare per un attimo Ronaldo, i love you
@PauDybala_JR",positive
@ILoveAlexDP10 @delpieroale @BelRedDevils @hazardeden10 @RomeluLukaku9 @tunisiefootball Si Ã¨ grande,positive
@fabiosantirocch @LucianoMoggi @marca @Cristiano brilli per originalitÃ ...complimenti,positive
"@Cristiano Madonna quanto mi gaserai quando twitterai in italiano, giÃ  godo",positive
"@dries_mertens14 Che fenomeno!!! Grande Drins Mertens   ""Ciro"" che gol tu' si nÃ  cosa  grand per meeee",positive
@suso30oficial Congratulazioni?,positive
"Vaaai..
Ti voglio bene Matador 
@ECavaniOfficial 

#UruguayRussia 
#WorldCup",positive
Complimenti al #TeamFrance di @MATUIDIBlaise che negli ottavi di finale della #WorldCup supera 4-3 il #TeamArgentina e vola ai quarti #JuveWorldCup #FRAARG https://t.co/WtjSbBZZgr,positive
"@Evra @juventusfc @paulpogba Quanto sei gobbo zio Pat ?????? Noi juventini ti vogliamo bene e ti avremo sempre nel cuore ?
Grazieeeee x il tuo amore nei confronti della juve ????",positive
@gianluigibuffon  incoraggiare Ã¨ insegnare a sognare e poi a trasporre i limiti della vita e infine a sorridere! https://t.co/Dqc0fXjYd7,positive
auguri grande Gonzalo @G_Higuain,positive
@paulpogba @equipedefrance Buona fortuna per la prossima partita,positive
"1K DI LIKE PER AVERE LA MAGLIA DA @Aubameyang7 AUTOGRAFATA.
IO LA MIA IMPRESA L'HO FATTA.

La palla passa a #Pier... 

ps. guardami negli occhi grande uomo @Aubameyang7 ! Non deludermi!

grazie a tutti https://t.co/Mx5XwYdpCx",positive
@PauDybala_JR Forza Paulo senza l'Italia TiferÃ² Argentina per i nostri Argentini della Juve!!! ?????????,positive
"@KeitaBalde @Inter Grande Keita, da laziale ti seguivo e non ho mai smesso. Felice di vederti in Italia, continua cosÃ¬ con umiltÃ  e arriverai in alto...",positive
@Frosinone1928 @LiguorP @juventusfc @Cristiano @SerieA_TIM Questo Ã©  lo spirito giusto....Forza gialloblu!!!,positive
"Sii sii Capitano
Il prossimo Ã¨ piÃ¹ bello
#keep_smiling_benatia 
?#maroc 
@MedhiBenatia ????? https://t.co/kSgwzPXROf",positive
@Cristiano Buon Natale a te ed alla tua bellissima famiglia!!! HAPPY CHRISTMAS???????????,positive
"???? Croatia. SOno veri guerrieri, grande cuore, grande @MarioMandzukic9 #CRO  bravo",positive
@Robi_Nai1 @DonBastiano4 @Cristiano Ah dimenticavo anche Zizou non ho mai odiato. Bollito Cr7? Ahaha .Ovvio ha I suoi anni ma Ã¨ un professionista serio sempre ultimo anche  a Madrid a uscire dagli allenamenti. In questi anni ha dimostrato di essere il migliore altrochÃ¨ bollito.,positive
@dries_mertens14 CirÃ¹ tuorn a Napl abbiamo un conto in sospeso con quelli la.,positive
"@Inter @MauroIcardi @gaglio94 Emmers da aggregare in prima squadra, il ragazzo Ã¨ veramente bravo. 
Urge un terzino destro. 
Svegliate Handanovic.
Serve #Rafinha",positive
"@FrancescaCphoto @kkoulibaly26 VabbÃ¨ addio... CosÃ¬ non si va da nessuna parte, buona vita da struzzo!",positive
Grande Wanda e @MauroIcardi  altri 5 anni insieme all'@inter https://t.co/Bsqit4dkum,positive
@juventusfc @G_Higuain Gonzalo sempre nei nostri cuori??,positive
@Cuadrado @FCFSeleccionCol @FIFAWorldCup @fifaworldcup_es Grazie #Colombia  per il bellissimo spettacolo di #calcio . @Cuadrado  riposati ti aspettiamo a Torino per un anno #FinoAllaFine,positive
"Grazie Ninjia! ?? Grazie di aver fatto parte della nostra amata @OfficialASRoma !
Buona fortuna @OfficialRadja https://t.co/rhMfK3RKVW",positive
"Congratulazioni mister Marotta, per favore prendi @SamiKhedira con te, lontano dalla Juve",positive
@MedhiBenatia @juventusfc @Juventusfcar @juventusfcen @juventusfces Mehdi sei troppo forte...spero che resterai con noi,positive
@l_desilvestri Auguriiiiiiiiiiiiiiiiiiiiiii CAMPIONE e GRAZIE ancora per il regalo che hai fatto ad Alessia e Giulia ??,positive
"Da tifoso piena Fiducia in @leonsfdo ma ad oggi una squadra che lo scorso anno ha sfiorato la finale di Champions League ha venduto due pezzi da 90 come @OfficialRadja e @Alissonbecker 
LÂimportante sarÃ  che chi Ã¨ arrivato e arriverÃ  non farÃ  rimpiangere questi due giocatori...",positive
@CesarAzpi @hazardeden10 @ChelseaFC @premierleague Capitano &amp; vice capitano ??,positive
"@kkoulibaly26 @r_castiglia Tu sei un grande, io da romano e romanista ho trovato una grande ingiustizia quella che hanno fatto al Napoli, koulibaly sono con te.",positive
@DecibelBellini @DavidLuiz_4 Sei rimasto molto amico dÃ¬ jorginho vero @DecibelBellini ?un grande ragazzo,positive
GRAZIE GUERRIERO!!!! @ValonBera #BRASUI #valonberahmi #guerriero #Neymar #WorldCup #WM2018 https://t.co/Xrajh6fqLr,positive
"@AlvaroMorata @HUGOBOSS Alvaro, amico mio, torna alla @juventusfc ! E' questa la tua casa!",positive
"CioÃ¨ ragazzi abbiamo @Cristiano 
MA CHE CAZZO NE SANNO GLI ALTRI
?????????",positive
"@MarioMandzukic9 Sei il migliore il numero 1
Grandissimo Mario,orgoglio di Croazia",positive
@kkoulibaly26 Grande Uomo @kkoulibaly26 siamo tutti francesi senegalesi napoletani koulibaly!,positive
"@georginajacaa @Cristiano @DoloresAveiro @juventusfcen Siete nel posto giusto,la juventus e l'Italia rappresentano,nel mondo,classe ed eleganza!",positive
@kkoulibaly26 Sei un grande giocatore e uomo e te lo dice un interista.,positive
"Se Ã¨ porno lo tolgo! @14_luisalberto ????

Grazie @AmanteDellaBola 

https://t.co/lMDNy5Mpf7",positive
@daniele39082698 @pellegrino435 @sscnapoli @simoneverdioff @G_Higuain @BorisSollazzo sei il centesimo che me lo scrive. Non cambia nulla... assolutamente. si parla si serie A non di promozione! Verdi ha riso per una cazzata di un tifoso coglione. Non credo proprio che Ancelotti sia fiero di questo video che circola ovunque. Lui non Ã¨ abituato a questi zoo,positive
"Ti ricorderÃ² sempre come 1 dei centrocampisti piÃ¹ forti che ho mai visto giocare nella #ASRoma.
Neanche dimenticherÃ² il mio incontro con te negli USA.
La tua disponibilitÃ  fu impressionante. Come uomo mi hai sorpreso per bene. Come calciatore non ho parole. 
Grazie @OfficialRadja https://t.co/iW3x0JvU2u",positive
"@AleOttaviano @kalyaMail @Sanchez__Jesus @Vivo_e_vegeto @Cristiano @juventusfc @realmadrid @marca Non esiste al mondo calciatore migliore di Cristiano Ronaldo. Ha 33 anni, vero, ma Ã¨ ancora il piÃ¹ determinante di tutti. Detto questo, i costi sono talmente alti che Ã¨ fantasioso anche solo ipotizzare che ci sia un minimo margine di trattativa. Ma meglio di CR7 non c'Ã¨ nulla.",positive
"@juventibus @Cristiano Belle parole da un campione che ha vinto tutto, che benissimo poteva andare altrove, invece noi siamo la JUVENTUS, siamo una famiglia che si allarga sempre di piÃ¹!!!",positive
@jacoposala @sampdoria Si si.... brave giraffe!!!!,positive
@PauDybala_JR Te lo meriti Paulino adorato sei Fantastico! ??????????????Tiferemo tutti per te JOYA ? ? ?,positive
"Ciro Ã¨ tornatooooo! Grande @dries_mertens14 ! 3Â° GOL!
#NapoliBologna 3-2
#ForzaNapoliSempre https://t.co/4ryCiP1SHu",positive
"ADESSO GRAZIE A @Cristiano (E alla mia opera di proselitismo, modestamente) Vogliono vederci anche in USA! https://t.co/u5v6yaoVw6",positive
"Solo grazie a chi ha dato tutto per questa maglia, grazie @OfficialRadja ???",positive
"@Dochollyday2274 @Danila9631 @PreziosoStrato @EdSnowden5 @oBravGuaglione @ECavaniOfficial Perfetta, come sempre!",positive
"@kkoulibaly26 Forza KK i razzisti sono delle merde e tu sei una persona fantastica,  fiero ed orgoglioso vederti in maglia azzurra della mia cittÃ ",positive
@InteristiFondam @kkoulibaly26 Io lo vorrei tutta la vita uno KK all'Inter....Ã¨ davvero forte..,positive
"@MuseeLouvre @equipedefrance @FrenchTeam @FIFAWorldCup @fifaworldcup_fr @AntoGriezmann @FFF @paulpogba @samumtiti @raphaelvarane Avevate Delacroix e il suo messaggio di vittoria, proprio la Gioconda dovevate usare? Ja, Ã¨ una palese provocazione. Onorata comunque che vi sentiate rappresentati da un genio italiano. P.S. manco per sogno scrivo in francese, tiÃ¨",positive
@kkoulibaly26 Sei un grande uomo... Punto!!!,positive
Stanotte ho sognato il ritorno di @Rafinha in nerazzurro... che segno sarÃ ? #inter #amala,positive
@DanieleRugani @juventusfc Bravo zio sempre top carico e attento! Auguri e sempre in migliorando ???????,positive
@c_appendino @Cristiano @juventusfc @ValerioMinato @twitorino @turismotorino @tuttosport @Gazzetta_it @CorSport Ora Torino sarÃ  ancora piÃ¹ bella.,positive
Non ho scritto ancora nessun apprezzamento stasera su @emrecan_ ma garantisco che ne ho pensati tanti. #jvtblive,positive
"?@kkoulibaly26? Tu uno di noi, siamo con te!!! https://t.co/Z5Z3plegLf",positive
"Sono felicissima dell'arrivo di #CristianoRonaldoallaJuve per questo bimbo. Lo giuro.
Sogno un @Cristiano che corre da lui ad abbracciarlo. https://t.co/PQz3WrpXkZ",positive
"@annatrieste E a prescindere dal calcio, un ragazzo splendido come @kkoulibaly26 non puÃ² essere offeso e mortificato da un gruppo di individui certamente piÃ¹ vicini alle scimmie di quanto K2 sarÃ  mai.",positive
"@Florenzi ragazzo simpaticissimo, dolcissimo iniseme alla splendida moglie, un sorriso in piÃ¹ per Ramona ??? grazieeee https://t.co/oHX7L8yrlw",positive
@Inter @MauroIcardi @ddambrosio @gaglio94 @borjavalero20 @Asabob20 @MPolitano16 Bellissima partita. Bravissimi @antocandreva  lautaro e salcedo.,positive
@giacomobona dai che tornerai alla grande ? ti aspettiamo ??????,positive
"Benvenuto @Cristiano

#ForzaJuve 

Grazie #Ronaldo

#NuevaFotoDePerfil https://t.co/mqLLtUITQ4",positive
"@GiulioMonti8 @juventusfc @Cristiano Complimenti a te Giulio, perchÃ¨ sei un vero amante dello sport",positive
"Grande @MedhiBenatia 
Contentissimo che vestirai bianconero fino al 2021.

#juventus",positive
@kkoulibaly26 Stai tranquillo noi ti vogliamo bene come uomo francese senegalese e napoletano!,positive
Il migliore in campo? Io dico @D_Ospina1 un grande!!!,positive
@_Lodetti_ @Allora_ @RossoneroKonic @MBoris89 @matteo_milan91 @TimoeB08 Trovata. LÂamorosa.,positive
@GiovaniBN @Cristiano ????????????????BRAVISSIMI RAGAZZI COMPLIMENTI,positive
@MarcelloChirico @juventusfc @Cristiano Sei contento io da morire https://t.co/UX7dtaiP28,positive
@gianluigibuffon @PSG_inside @juventusfc Auguri di ?? a tutta la famiglia Gigi. Mi manchi,positive
@Asabob20 @Inter Voi presentate Asamoah e la grande @juventusfc presenta @Cristiano. Continuate cosÃ¬ che siete uguale come i prodotti cinesi.,positive
"Non toccate ne @Miralem_Pjanic ne @MedhiBenatia, oltre il resto!!! Grazie in anticipo #marotta e #paratici!!! 

#calciomercatoaa 
#MY7H 
#MY8H 
#timcup 
#UCL 
#triplete",positive
@MATUIDIBlaise Davvero eterni. Complimenti davvero Blaise??????,positive
"Prime dichiarazioni di #Nainggolan: ÂLÂ#Inter mi ha voluto fortemente, piÃ¹ di tutti. Non posso che ringraziare la societÃ . RitroverÃ² un grande allenatore, sono felice di lavorare nuovamente con #SpallettiÂ. 
#Calciomercato @Inter @OfficialRadja",positive
@MauroIcardi Auguri ?,positive
@MarcelloChirico @juventusfc @Cristiano Altrettanto grande Marcello!!,positive
"Tu sei un predestinato @Cristiano. Grazie per essere con noi, alla @juventusfc. Quella maglia ti sta da Dio. #CR7DAY #CR7JUVE #FinoAllaFine #forzajuventus #JR7live",positive
@finizio_marty @Lor_Insigne Si sÃ¬ te lo posso affermare !!?????? https://t.co/XNZiYbNKUs,positive
"@kkoulibaly26 Prima sei un grande uomo ,poi un grande atleta ,e Napoli Ã¨ casa tua ,si fiero di essere chi sei noi lo siamo per te .Merci mon champion je t'aime comme mon frÃ¨re.Merci beaucoup?",positive
@faberskj @juventusfcen @Cristiano Devo bere qualcosa. Sono emozioni forti,positive
@PassioneCalc10 @juventusfc @BrooklynNets @AntoGriezmann Io lui lo AMO,positive
"@GiuxInter @giovannibrenteg Se non perdiamo fiducia la strada Ã¨ giusta , ora mente fredda rivedere come abbiamo giocato a Roma e con i gobbi Ã¨ da grande squadra ! E va detto abbiamo fatto tutto questo ciclo tremendo senza @OfficialRadja !",positive
Grande Croazia ! Marione in semifinale !  #CRO #WorldCup #RussiaCroazia @MarioMandzukic9,positive
"@eugenioosss @ramone2263 @KeitaBalde Una bella serata guastata dai soliti deficienti
Forse almeno una  volta andrebbero presi e no. Solo minacciati provvedimenti
#amala",positive
@LucianoSpallett @OfficialRadja Ho sempre ammirato in ninja fin dal cagliari  grande mister,positive
@J_Mercato @MarceloM12 @juventusfc Glielo porto personalmente con la 500!,positive
"@MilanNewsit @TimoeB08 @acmilan @danielemasphoto Si, assolutamente. Ne vale la pena",positive
@OfficialASRoma @OfficialRadja Grazie per tutto quello che hai dato alla Roma rimarrai sempre un gladiatore Romano......,positive
"@kkoulibaly26 Grande Kalidou ! Grande #RaulAlbiol ! Grande difesa con #Hysay  , #Fouzi e #Meret Grazie a tutti e Forza Napoli !",positive
"@betman @Marco_Evang @AntonioLoy @OfficialRadja @Alissonbecker Prendigli quella di kluivert, vedrai che Ã¨ contento lo stesso! ??",positive
@GhoulamFaouzi @RafAuriemma @UEFAcom @FIFAcom @kkoulibaly26 @sscnapoli Sei grande Fauzi??,positive
"@kkoulibaly26 Sei un grande calciatore, ma soprattutto  un Grande Uomo!!",positive
@MarioMandzukic9 il miglior attaccante al mondo... #topplayer,positive
