comment,emotion,sentiment
nessuna cittÃ  al mondo ha questo. per esyensione per i suoi piacevoli sali scendi per la frescura per il picnic per leggere per i bimbi gli anziani . non Ã¨ un oasi ma qualcosa in piÃ¹ Sicuro oggi e ben sorvegliato anche di sera. ,joy,positive
"Canali erano esaurite pochissima acqua. Alcune parti in costruzione. Sembra essere una zona notte della nostra vita... Molti un po' folle a questo. Le bottiglie di birra tutto compreso nel modo di acqua, bevande sulla terra tutto strade. Ci sono molti ristoranti nei dintorni. Essere consapevoli dove la vostra a piedi non eravamo a conoscenza della zona e siamo finiti in una zona sempre agitato della cittÃ . Un piccolo pochi negozi e da un sacco di elementi di tipo di mercato delle pulci. Si puÃ² acquistare un telefono cellulare caso o self stick a ogni 3 ripida mi sudore! Non Ã¨ quello che mi aspettavo a tutti!",sadness,negative
"Bellissimo, capolavori di Caravaggio, Velasquez, Raffaello, Reni, Goya e moltoo altro. Anche chi non Ã¨ amante dell'arte deve visitarlo; ogni giorno si entra gratis dalle 18 alle20, fila lunga ma scorrevole.",joy,positive
"Zona molto famosa di Milano, io l'ho visitata di giorno trovandola molto mesta e triste. Probabilmente la sera Ã¨ piÃ¹ viva ma di giorno si vede solo porte chiuse e uno squallido acquitrino.",sadness,negative
"Immenso parco in cui ognuno trova il proprio spazio e modo di impegnare il tempo!Abbiamo noleggiato due bici ed Ã¨ stato molto divertente girare tutto il parco, trovi artisti di strada, giochi per piccoli e aree per adulti. Il cuore pulsante di Manhattan! Consigliato a chi oltre ad essere di passaggio, vuole staccare dalla frenetica cittÃ  !",joy,positive
"...sono comunque i navigli. Un giro va fatto soprattutto se siete in cittÃ  per pochi giorni. Pieno di locali alla moda e molto vivace. Forse a un certo orario cÃ¨ un Po troppa confusione e poco ""controllo""",sadness,positive
"Credo sia uno dei parchi cittadini piÃ¹ famosi al mondo. E meritatamente. E' il polmone verde di NY, ma al suo interno vi sono anche molte altre attrazioni. In primis , appena entrati , degli scoiattoli giocosi vi accoglieranno nella speranza di qualche leccornia da mangiare. Buon divertimento",joy,positive
"Siamo rimasti incantati nel varcare la soglia di questa piccola e semplice, dall'esterno, chiesetta in una via di grande passaggio a pochi passi dal centro.Gli affreschi sono riemersi per merito del lungo lavoro di molti volontari appassionati e per noi visitatori Ã¨ gioia visiva.La paragono alla cappella degli Scrovegni in quel di Padova in alcuni suoi profili.Da vedere..!",joy,positive
Me ne parlavano molto bene prima di andarci ma penso che non ci sia nulla di particolare almeno che non si voglia buttare soldi in aperitivi,anger,negative
In questo momento il museo Ã¨ visitabile in maniera molto ridotta. Ho trovato la visita molto deludente.,sadness,negative
Bellissima passeggiata fatta oggi con i miei bambini. Giro di un oretta in carrozza tirata da un cavallo e il cocchiere Ã¨ stato estremamente gentile facendo sedere accanto a lui il mio bambino e spiegandoci o meglio descrivendo ci i posti piÃ¹ importanti del parco,joy,positive
"Dopo averlo visto tante volte in foto, nei films,  ho avuto il piacere di viverlo di persona ed Ã¨ stato meraviglioso. Aveva nevicato il giorno prima e Central Park era ancora piÃ¹ bello.Unico....",joy,positive
"Central park Ã¨ splendido e quando si ha la fortuna di visitarlo in inverno, in una giornata fredda ma piena di sole...la sua bellezza scalda il cuore! Non seguite particolari itinerari, lasciatevi portare dai sentieri che incontrate, alla ricerca degli scoiattoli o degli animali che riempiono gli spazi verdi..un incanto.",joy,positive
"Central Park Ã¨ molto vasto, se possibile Ã¨ bello girarlo in bicicletta.La parte imperdibile Ã¨ dove câÃ¨ la Bethesda Fountain, con il laghetto, le barche a remi che si possono affittare  o le carrozze a cavallo. State lontani dai risciÃ².  In inverno câÃ¨ anche la pista di pattinaggio che Ã¨ divertente. Ma Ã¨ bellissimo anche solo per una passeggiata o, un pic nic! ",joy,positive
"Devo dire che la zona dei navigli Ã¨ la parte di Milano che preferisco. La darsena poi, grazie all'expo, Ã¨ davvero carina",joy,positive
"Siamo stati molto fortunati, una gran bella giornata e cielo limpido. La passeggiata in central Park ha sempre il suo fascino, non si puÃ² perdere!",joy,positive
"Nonostante le alte aspettative ci ha soddisfatto sotto ogni punto di vista, curato e appagante, Curati anche i giardini circostanti",joy,positive
Ottimo posto favoloso molto caratteristico amo l atmosfera che riserva questo meraviglioso navigli da ritornarci molto presto,joy,positive
"Mostra interessante e suggestiva, non Ã¨ necessaria la prenotazione, consigliabile arrivare presto per non fare coda",joy,positive
Se vi piace lo stare insieme alle persone in un luogo pieno di locali di tutti i generi siete nel posto giusto,joy,positive
"Una delle tante meraviglie milanesi sconosciute ai piÃ¹; lungo corso Magenta, una delle vie piÃ¹ rinomate e centrali, a fianco al museo archeologico. La facciata non Ã¨ delle piÃ¹ suggestive e attraenti, ma l'interno Ã¨ tutto da scoprire. La grande navata Ã¨ divisa in due aule da una parete divisoria, che riempie immediatamente lo sguardo con i suoi vivaci affreschi. Sono proprio gli affreschi a caratterizzarla, riempiendo non solo le sei cappelle laterali e il resto della prima aula, l'""aula dei fedeli"", ma anche l'intera ""aula delle monache"", celata dietro alla parete divisoria, a cui si puÃ² fortunatamente accedere, vedendo anche il grande organo. Gli affreschi, il cui autore principale Ã¨ Bernardino Luini, seguito dai tre figli Aurelio, Giovan Pietro e Evangelista Luini, nonchÃ© da diversi altri artisti del periodo, hanno fatto sÃ¬ che la chiesa venisse indicata anche come ""Cappella Sistina di Milano"". A disposizione dei visitatori grazie ai volontari del Touring Club Italiano.",joy,positive
"Un museo meraviglioso dove sono esposte opere d'arte mozzafiato. Durante la mia visita al museo non mi sono accorto del trascorrere delle ore sono entrato alle ore 11 circa e ho terminato la mia visita alle 18, senza sosta. MERAVIGLIOSO.",joy,positive
"ideale per chi ama passeggiare!! la sera stra pieno di gente e locali!! luogo frequentato da persone tranquille, peccato per la pavimentazione che con i tacchi Ã¨ antipatica :D perÃ² promosso per la vita che c'Ã¨ e i numerosissimi locali!",sadness,positive
"Bellissimo posto, dai colori stupendi in Autunno , un paradiso in una delle piÃ¹ belle cittÃ  del mondo !",joy,positive
"Gli affreschi (che sono molto belli e meritano una visita anche approfondita - non lasciarsi ingannare dalle piccole dimensioni del posto - ma non sono la Cappella Sistina) meriterebbero forse quattro stelle su cinque, ma la quinta Ã¨ ben meritata per come il Touring Club gestisce la splendida chiesa, aperta anche in virtÃ¹ di questo ad orari a cui sarebbe difficile trovare nel resto di Milano una chiesa aperta che non sia il Duomo. Non ci si lasci ingannare dall'esterno quasi anonimo: le due sale interne regalano sorprese cinquecentesche, e la seconda anche piÃ¹ della prima!",joy,positive
Se volete conoscere di piÃ¹ del sistema governativo tedesco vi consiglio questa visita guidata gratuita previa registrazione e richiesta disponibilitÃ . Inoltre potrete ammirare il recupero di un edificio storico in chiave moderna e alla fine potrete ammirare il panorama della cittÃ  dalla cupola e dalla terrazza,joy,positive
"Un'atmosfera romantica nel cuore di New York. Curatissimo, pulito e sorvegliato. Ã tutto di un verde meraviglioso e ci sono molte zone di relax. Non si possono portare alcolici all'interno del parco..e sinceramente questa cosa ti fa sentire piÃ¹ tranquillo visto gli individui che girano in questa cittÃ  (come in tutte le grandi cittÃ )",joy,positive
"Freedom. Un museo a cielo aperto..murales ,street art per la libertÃ  e la pace.. No more walls ,freedom",joy,positive
Tappa assolutamente da non perdere!Mia moglie ed io l'abbiamo girato praticamente tutto da sud a nord.Luogo per stupende camminate (io sono stato in primavera con tutte le piante in fiore) oppure per jogging o semplicemente per rilassarsi sul prato curatissimo.Assolutamente da evitare il giro in carrozza. Quei poveri cavalli potrebbero fare benissimo dell'altro che portare in giro voi.Piuttosto prendete una delle numerosissime biciclette a noleggio presenti in tutta la cittÃ .,sadness,negative
"Passaggiata e cena di coppia, simpatica location, bella passeggiata ma nessun entusiasmo. DifficoltÃ  a trovare un locale che ci ispirasse, se non ami apericene, drink, cucine tipiche, se non gradisci mangiare all'aperto o quasi e soffri dell'effetto locale per turisti, meglio non andare. Tanti giovani, tutti giovani, forse la colpa Ã¨ ella mia anagrafe!",sadness,negative
Se andate a New York Ã¨ imperdibile una passeggiata o addirittura un'intera giornata dedicata a vivere questo bellissimo parco. ,joy,positive
"Ogni volta che vado a Milano cerco di trascorrere qualche ora rilassante sui Navigli. Locali piacevoli, molta gente che passeggia, ed un' atmosfera davvero piacevole!",joy,positive
"Sono stato a NY ormai piÃ¹ di 30 volte ed ogni volta una passeggiata in questo magnifico parco non me la perdo! Che sia dâestate con il caldo, dâinverno con la neve o in qualsiasi altro periodo dellâanno Ã¨ un posto meraviglioso!!",joy,positive
Imponente e Maestoso... come non fermarsi ad ammirare questo monumento simbolo di Milano bellissimo anche di sera per delle foto by night,joy,positive
"Museo vasto e bellissimo per le numerose opere in esso presenti. Peccato non ci fosse una visita guidata in italiano.  Avrei gradito anche dei percorsi piÃ¹ delimitati, invece si poteva passare da una sala all'altra senza capire dove fosse meglio proseguire. Le opere, perÃ², sono notevoli.",joy,positive
"Milano nasconde i suoi tesori agli occhi dei piÃ¹, ma per chi ama la bellezza e la cultura, questa chiesa in pieno centro meneghino, Ã¨ da assaporare.",joy,positive
una volta a NY nn potente non andare al CENTRAL PARK !! un polmone verde in una cittÃ  fatta di grattacieli e caos di auto. un paio di ore a rilassarsi  li per rigenerarsi come fanno gli abitanti di NY. LO CONSIGLIO,joy,positive
"Simbolo della divisione e dell'unitÃ  della Germania. Porta prussiana  , simbolo della pace ed accesso al viale Unter den linden",joy,negative
"A mio avviso ogni volta che si va a Berlino, bisogna andare a vedere se vi sono stati cambiamenti !!",sadness,negative
Grazie ad alcuni conoscenti residenti a Milano abbiamo avuto la fortuna di scoprire la meravigliosa chiesa di San Maurizio che ci ha lasciati superati per la bellezza e la complessitÃ  degli affreschi ,joy,positive
"Ogni volta unâemozione unica, spettacolare vista nel pieno centro di Milano. Mi innamoro ogni volta che torno",joy,positive
Gran parte del museo Ã¨ dedicato a artisti spagnoli ed europei dal 1400 al 1700. Tantissime le sale da visitare e quindi impossibile vederle tutte se non dedicando  piÃ¹ giornate al Prado,joy,positive
"Che tu sia in vacanza o per lavoro, consiglio chiunque a passarci del tempo. Adatto anche per chi ha bambini piccoli con passeggini. Sono frequenti piccoli concetti o spettacoli di qualsiasi genere.consiglio di noleggiare una bicicletta. Purtroppo ho visto che il verso per i mezzi Ã¨ in un unica direzione. Se si tornare indietro Ã¨ indispensabile prendere la bici e portarla a piedi dalla parte opposta del parco.",sadness,negative
Appena entrati si rimane senza fiato. La prima sala Ã¨ piena di affreschi ma appena si va nel coro  dietro lâaltare tutto Ã¨ ancora piÃ¹ magico.  Osservando gli affreschi si raggiunge un senso di pace immenso. ,sadness,positive
"Dopo la riqualificazione dei Navigli , la zona Ã¨ divenuta centro di movida , tanti ristorantini , pub, bar un luogo veramente attraente",joy,positive
Erano molti anni che non frequentavo la zona dei Navigli e sono rimasta piacevolmente stupita nel vedere le modifiche apportate sopratutto alla darsena. Molti locali e ristorantini pieni di giovani. ,joy,positive
"molto bello passeggiare nel parco, vedere tutta questa natura circondata dai grattacieli fa una certa impressione",joy,positive
Tutti gli anni per il periodo di Natale con amici o parenti non manca il giro a Milano per visitare ed apprezzare la meraviglia del Duomo e il fascino del Natale che si respira in torno. Comunque da visitare sempre. ,joy,positive
"Assolutamente da vedere ; uno spettacolo di verde in mezzo al cemento.A piedi o in bici. Potete trovare ai lati dei piccoli bistrot con I prodotti locali, caffe, donuts ecc ecc",joy,positive
Il duomo di milano non si commenta Ã¨ unico nel suo genere in una piazza davvero speciale !Maestoso come sempre .Bellissimo di notte chiaramente .,joy,positive
"Un'oasi di pace nel caos di New york, il tempo qui passa sempre troppo in fretta. Un posto veramente incantevole dove mangiare, riposarsi, passeggiare e rilassarsi",joy,positive
"Non pensavamo che fossero cosÃ¬ ben restaurati, belli per camminarci a fianco anche per chilometri, belli da navigare anche se un po' piÃ¹ adatti a persone non abituate a camminare e a bambini. Tutto molto ordinato e pulito, abbiamo capito come Milano stia sorpassando turisticamente Roma.",sadness,positive
"Non avevo mai visto i navigli. mi hanno emozionato. entusiasmato, ci sono molti locali e ristoranti di diverso tipo  . tutti accoglienti e con personale simpatico. al tramonto diventano incantevoli.",joy,positive
Si entra in una chiesa piccolissima con la sensazione che manca qualcosa: il passaggio nel salone del coro risolve il problema. Grandioso! Affreschi stupendi  e atmosfera straordinaria,joy,positive
"facile da raggiungere con i mezzi,assolutamente da vedere tutto il muro rimasto,fino ad arrivare alla stazione metro,mentre lo si percorre ci si chiede quanto fosse assurdo e triste che durante la guerra la cittÃ² fosse divisa proprio da quel muro.L'unica nota negativa sono  i malfattori che spillano soldi con i loro giochi di carte.",sadness,negative
"Mi ha attirato il nome del Santo a me molto caro, poi San Maurizio di chiese intitolate a lui ne ha davvero poche, infine nessuna statua al suo interno ma un continuo di meravigliosi affreschi.Non dimenticate di visitarla.",joy,positive
Area incantevole a camminare come una pausa da milano folle centrali. Trattorie tradizionali e milanese cotolette migliore che riempiva il piatto (vitello lasciarle rosolare nel pangrattato al limone e arrosto con patate) . Questo con un gelato da Amorino era una posizione ottima per riempire tempo prima di rientrare per l'aeroporto. 2 Stazioni della metro Ã¨ molto vicino.,joy,positive
Ho passeggiato in questo immenso parco la mattina del BlackFriday: la giornata era bellissima e il clima quasi primaverile. Ã un'oasi di natura e relax dalle orde di turisti e shopping-addicted che affollavano Manhattan la settimana del thanksgiving. Non si puÃ² visitare New York senza passare da qui!,joy,positive
"Un'oasi in mezzo alla cittÃ . Ogni volta che ci torno scopro un angolo nuovo. Ã un posto che mi emoziona molto. Mi siedo sull'erba, sulle panchine curiosando le varie targhe, corro, cammino... Dovrebbe esserci qualcosa di simile in ogni cittÃ ...",joy,positive
"I dipindi, gli affreschi, tutta la struttura. le guide sono cordiali, la visita era gratuita. Ottimo esempio di arte e archittetura sacra.",joy,positive
"Andate a correre a central park!!!Ã un'esperienza da fare! Il contesto Ã¨ incredibile, immersi nel verde e con una vista spettacolare sulla cittÃ !Il parco e' molto frequentato, e sorvegliato! Potete anche andare a correre da soli, nessuno vi disturberÃ !",joy,positive
"Leggo in alcune recensioni recenti che il complesso Ã¨ saltuariamente aperto e in determinati orari, non Ã¨ vero perchÃ© noi volontari  di ""Aperti per voi"" del Touring club italiano teniamo aperto questo sito da martedÃ¬ alla domenica (l'apertura domenicale completa Ã¨ partita da luglio 2014) ininterrottamente dalle 9,30 alle 17,30 come sta scritto anche sui nostri pieghevoli. Ricordiamo inoltre che sino a dicembre 2014 , causa l'ultima fase dei restauri nella chiesa dei fedeli ,per motivi di sicurezza, l'accesso al coro delle monache avviene passando dal Museo Archeologico.",sadness,negative
"Definita la Cappella Sistina di Milano, la Chiesa di San Maurizio al Monastero Maggiore presenta 4 mila mq di affreschi di scuola leonardesca.Fra tutti stupisce l'affresco con le storie dell'Arca, attribuito ad Aurelio Luini.Altri affreschi sono stati realizzati da Bernardino Luini, da Simone Peterzano, il maestro di Caravaggio, dal Bergognone e da Antonio Campi.",joy,positive
Aperta al pubblico grazie ai Volontari TCI di Milano questo impareggiabile gioiello dell'arte milanese Ã¨ ciÃ² che resta del Monastero Maggiore. Tra i siti di Milano Ã¨ quello piÃ¹ visitato da persone provenienti da ogni parte del mondo! ,joy,positive
"PiÃ¹ volte ho visitato questa magnifica cattedrale nel cuore di Milano. Ã molto apprezzato l'idea di poter acquistare dei biglietti di ingresso con varie possibilitÃ , dalla semplice entrata nella chiesa, al tetto, ai musei. Tuttavia l'aspetto negativo Ã¨ quello di ritrovarsi nella biglietteria con 10 sportelli e 4 selfservice, e soltanto la metÃ  aperti, con attese di oltre un'ora per permettere alle oltre 150 persone in attesa di essere servite. Questo Ã¨ un servizio pessimo e si dovrebbe provvedere soprattutto nei giorni di fine settimana o quando vi sono eventi in cittÃ .",sadness,negative
"tutto l'anno i navigli sono il centro della movida milanese grazie alla sfilza di locali dove fare l'happy hour a 10â¬ o meno o poco piÃ¹, in base ai locali, o bere un drink dopo cena.piacevole anche passeggiare lungo i navigli, ma d'estate le zanzare sono molto fastidiose a causa della grande quantitÃ  di persone presente ed ai navigli stessi.",fear,negative
"Come tutti i grandi musei molto faticoso, non facile seguire un itinerario ma forse non bisogna neanche seguirlo. Le opere sono opere classiche, per gli appassionati o per chi non puÃ² andare a Madrid e non visitare Prado. ",sadness,positive
Il Duomo di Milano STUPENDA costruzione all'interno bellissimo affreschi se poi saluti sulle guglie avrete la possibilitÃ  di vedere  un ottima veduta  di Milano ,joy,positive
Siamo stati per una vacanza a Milano ma questo quartiere lo abbiamo trovato sporco e non curato ....,sadness,negative
"Il verde della natura e il grigio dei palazzi riflessi sul lago danno vita ad un moderno quadro impressionista in movimento, particolarmente suggestivo e indimenticabile. Ã una bellissima meta da fare dopo aver visitato la parte centrale di new york cosÃ¬ da spezzare la frenesia della cittÃ . Il parco Ã¨ abitato da tanti scoiattoli e uccelli di vario tipo, da tante piante provenienti da diverse parti del mondo come il pino giapponese e da tanti fiori colorati. <3",joy,positive
"E' tutto fantastico! Peccato che non vi celebrino + la Theia Liturghia. E' una delle Chiese piÃ¹ belle di tutta Milano, e la consiglio ad ogni turista. ",joy,positive
"Central park Ã¨ un polmone verde in mezzo a New York, non sembra nemmeno di essere in cittÃ ! Tanti spazi verdi in cui fare pic nic",joy,positive
"Mantenuta aperto tutti i giorni (tranne il lunedÃ¬) dai volontari del Touring Club, che svolgono un opera veramente meritoria. Altrimenti marcirebbe chiusa. Ã molto bella, suddivisa in due parti, una delle quali riservata un tempo alle suore di clausura. Affreschi infiniti ne decorano pareti, soffitti e volte. Vale una, seppur breve, visita.",joy,positive
"I Navigli per un milanese sono le vene e le arterie che portano vita al cuore di Milano.Dire ""Navigli"" ovviamente Ã¨ generico (ne son rimasti 3: Il Grande, Il Pavese e la Martesana) come solo generica puÃ² essere questa recensione.Generica perchÃ¨, per non farla chilometrica, dovrei solo elogiare i locali tipici, gli immobili che insistono sulle sponde, le immediate vicinanze, le gioiose fiere che si tengono a intervalli regolari, la vita serale e notturna, l'arte che li contraddistingue (specie il Grande fra negozi, artisti e fiere di antiquariato).Andare a guardare ogni singolo aspetto, ogni nota particolare, ogni colore del caso, sarebbe veramente una cosa esagerata.Sicuramente per un turista, o per un semplice viandante, i Navigli sono qualcosa che non si puÃ² depennare da una minima lista di cose da fare a Milano.Anche se fosse solo per ammirare una delle tante invenzioni geniali di Leonardo Da Vinci (il portello delle chiuse) o ammirare un tramonto da uno dei tanti ponti.Di Navigli a Milano ne avevamo tanti, poi ricoperti per svariati motivi.Qualcuno sta pensando a qualche (auspicabile) riapertura.Sarebbe bello: Milano tornerebbe la ""CittÃ  D'Acqua"" che Ã¨ sempre stata e noi avremmo qualcosa in piÃ¹ da farci invidiare dal pianeta tutto (come se non bastasse quel che giÃ  abbiamo!)",sadness,positive
"Zona aggiornata dopo anni di degrado, con diversi locali e negozi, ospita anche un mercato. Piacevole per farci dire passi lontani dalle solite attrazioni del centro",joy,positive
"Assolutamente consigliabile, non si puÃ² andare a Berlino e non andare a vedere questo memoriale. E' importante",joy,positive
Bisogna assolutamente passeggiare per questo parco stupendo e fermarsi per un pic Nic  o prendere una barca a noleggio o semplicemente sedersi su una panchina a guardare la gente che passa sembra di essere in uno dei tanti film che sono stati girati qui,joy,positive
"Questo parco Ã¨ immenso! Per davvero si puÃ² dire che Ã¨ il polmone verde di NY City! Vorrei viverci solo per alzarmi al mattino e avere la possibilitÃ  di farci la corsetta tra scoiattoli, specchi di acqua e ponti incantati. E poi davvero nel cuore della cittÃ ,Ottimo per correre, andare in bici, rilassarsi su una panchina, piacevolissime passeggiate o per giocherellare con scoiattoli amichevoli ",joy,positive
"Parco enorme, bellissimo, con due piste di pattinaggio. In primavera estate sicuramente offre uno spettacolo di colori meraviglioso.. un consiglio : nn fittate le biciclette, Ã¨ piuttosto stancante !!!",joy,positive
Ottima esperienza. Molto interessante organizzazione perfetta.  Ci sono opere di molti artisti spagnoli. Io ho adorato Il Bosco. ,joy,positive
"Non sono fanatica dei parchi e ho approcciato Central Park come un'attrazione qualsiasi. Sono rimasta affascinata...mi Ã¨ rimasto nel cuore. Girato quasi tutto a piedi, merita davvero ad ogni passo.",joy,positive
Ã una delle attrazioni da non perdere quando si visita Berlino...un simbolo della sofferente cittÃ  nella storia di Berlino...triste ma da vedere,sadness,negative
"Si tratta di un deve visitare. Da circa 18,00 tutti i ristoranti e i bar servono una ""Happy Hour"".  Ottima atmosfera. A seconda della temperatura scegliere per il lato soleggiato o il sito di ombra del canal grande.",joy,positive
Andare a Central Park Ã¨ una delle cosa assolutamente da fare quando si va a New York. Parco ben curato dove ognuno puÃ² trovare il propri modo di rilassarsi. In questa stagione i colori delle foglie lo rendono ancora piÃ¹ bello.,joy,positive
Abbiamo avuto la fortuna di trovare posto prenotando solo il giorno prima. La visita alla cupola Ã¨  molto bella perchÃ© si vede tutta la cittÃ .  L'ingresso Ã¨ gratuito come anche l'audio guida. ,joy,positive
"Luogo ideale per rilassarsi e praticare dello sport a tutte le ore in totale sicurezza , molto curato e pulito , buoni i servizi ristorazione .",joy,positive
E' veramente Una galleria d'arte a cielo aperto! Da godere con gli occhi e col cuore. La consiglio assolutamente. ,joy,positive
E stato uno dei piÃ¹ bei monumenti che abbiamo visto. Siamo rimasti incantati.Spero che possiate avere l occasione di visitare anche voi questa splendida meraviglia dell architettura,joy,positive
"Anonima facciata per questa chiesa che al suo interno conserva degli affreschi che nulla hanno da invidiare a chiese piÃ¹ famose e blasonate.Restaurata ed ora accessibile grazie ai volontari del Touring Club vale una visita e non solo!  Se riuscire prenotate una visita guidata per scoprire ""veramente"" questo gioiello milanese.",joy,positive
Uno dei miei posti preferiti di New York...romantico...ci ho lasciato il cuore...stupendo...indimenticabile...,joy,positive
"Ho sentito molto parlate di questo luogo quasi nascosto nella Milano dello shopping e degli affari.Lungo Via Magenta proprio di fianco all'ingresso del museo Archeologico, si apre l'ingresso di questa chiesa molto particolare.Ã la prima che visito con ancora la divisione tra la parte dedicata ai fedeli d quella invece dedicata alle monache di clausura. La grata che divide gli ambienti nasconde un coro ligneo assolutamente favoloso come pure l'organo cinquecentesco spesso usato per concerti serali.Gli affreschi dei Luini sono pregevoli e, particolarissima, la cappella decorata con le scene del diluvio universale.Un ringraziamento particolare ai volontari del FAI che, con la loro opera, si prestano ad illustrare le meraviglie di questo luogo.",joy,positive
"Parto dal fatto che non siamo riusciti a vederlo tutto ma credetemi Ã¨ impressionante un autentico rettangolo verde nel centro della citta'... con laghi viali  ecc.bellissimo, sicuramente da vedere ;)",joy,positive
"Ottimo luogo per chi Ã¨ in cerca di vita notturna, lungo i navigli si trovano decine e decine di locali, la maggior parte famosa per l'ottima offerta dell'aperitivo accompagnato da un ricco buffet",joy,positive
il vero polmone di New York...ne vale veramente la pena passarci mezza giornate per potervi rilassare dalla vita frenetica del centro WoW,joy,positive
"Vedere dall'alto la cittÃ  e ""leggere"" la storia che ha caratterizzato tale monumento fa capire bene il tutto e capire le difficoltÃ  degli abitanti e del popolo tedesco.",sadness,positive
Ci siamo trovati a passeggiare lungo i navigli per raggiungere la chiesa di sant'Eustorgio.La calda giornata d'inverno ci ha fatto gustare i luoghi puliti e ben attrezzati.,sadness,positive
"E' stata il primo luogo che siamo andati a vedere appena arrivati a Berlino. Emozionante per il valore storico, peccato che era coperta da alcuni stand per una manifestazione.",joy,positive
Bellissima passeggiata che ti fa riscoprire la cittÃ  e questi luoghi meravigliosi non solo la sera per la movida e per l aperitivo ma anche per scoprire oggetti dai piÃ¹ piccoli ai piÃ¹ grandi del passato..mercatino dell' antiquariato..da non perdere..una piacevole passeggiata domenicale!,joy,positive
"Molto bello e curato e molto grande.In bici si riesce a percorrere solo in alcuni punti, il resto Ã¨ comunque da fare a piedi. Ã in salita.Una boccata d'ossigeno a New York. ",sadness,positive
