frase,sentimento,emozione
ma io lo sai che sto pensando. ho saputo il fatto del giardino mio. che li videro dietro casa miaallora come dici tusparava nel muro (ridono e si accavallano le voci). perché nuccio. disse là. nuccio. io allora dissi - “ ma cosa credi. vedi che il polacco. il coso. quello fino alla sera siamo stati zitti”“ ma cos’è il polacco?”e mi chiamai il polacco. quello del barone. disse che la mattina alle cinqueappena fatto giorno. il polacco se ne va subito. a fare i servizi nel giardino. ed ha visto. “. tu cosa fai?”. gli dissero. fermarono il polacco. disse il polacco i lavoro qua. e dissero. nonoi stiamo vedendo. perché ci hanno chiamato i proprietari di casa. che hanno visto un ladro che scappava da una parte all’altra. il polacco si pensava che era così. poi il polacco chiese - “ signore. ma sono venuti i ladri?”. dissi. ma quale rubare. ” ci stava la polizia. ”. ma allora dietro il muro hanno potuto sparare (installare una microspia). pure vicino al muro. come stanno le cose. quelli sentono a 30 metri. 20 metritrapanoche quelli hanno sparato (installato microspia). là per vedere se parli. non è quello. però sempre pericoloso. è!!,NEGATIVE,fear
questo mi è successo due. tre mesi fa. (si accavallano le voci). è successo. perché teniamo un difetto tutti quanti. che per esempio. da me perché è successo questo. perché. due. tre. quattro mesi. centinaia di persone. è normale. che si viene a sapere. non vogliono fare,NEGATIVE,sadness
qualche volta di queste. sea mandare qua dentro. ”questo”. (cava biagio)si allontana. non passa più. manco se lo uccidono. perché lo sa che la casa mia è sotto. non ci passa. hai capito? proprio deve essere un’emergenzaproprio se bussa solamente. ma quello non ci passa.,NEGATIVE,anger
perché tiene un’altra cosa. quello tiene tutto. si può fermare dove vuole luihai capito molui è più “ sfaccimmo” (scaltro),POSITIVE,sadness
antonioha vergogna.,NEGATIVE,anger
lo dice. però non ci va,NEGATIVE,anger
nessunoscusa. ma cosa ci vuole e ti fermi da me e ti accompagno. qual è il problema di fare tutto questo bordello.,NEGATIVE,anger
e quello. pure mia figlia maria. lo diceva. anima della madonna. magari. pure per lo sfizio di fermarti. una volta. ma come cazzo è così.,NEGATIVE,anger
se si ferma in una casa e riesce a prendere confidenza.,POSITIVE,joy
niente. non ci va. se riesce ad ambientarsi. in una famigliaahaè. si deve sentire a suo agio.,NEGATIVE,sadness
invece“quello la”. (cava biagio). se si vede in difficoltà. dove cazzo è. è. si butta dentro. si butta dentro senza pensarci.,NEGATIVE,anger
tiene la faccia delle puttane. fiorenza. quando ti devi buttare. quello. questo. ne ha fatto unaforza. quello ha una forza. non la fai la faccia tosta. tiene la faccia tosta come le puttane. questo avvocato lo hai chiamato??(palma deve effettuare una telefonata all’avvocato)ma io dico sempre. che quando vuoi stare bello tranquillo. te ne devi andar per le terre.,POSITIVE,anger
ma se tu l’hai accompagnato la sera. e alle due di notte. stava qua. scusa. che io dissi - “ non dite stronzate. che quello se n’è andato. non poteva venire. (si accavallano le voci).,NEGATIVE,sadness
esce adriano e compagnia bella,POSITIVE,joy
il problema e che tu ti metti pauradi “adriano”. “ quello “ (cava biagio). non si mette paura. ma il problema è come ti muovi dopo. ti faccio vedere cosa vedi. per qua. “ quello”  mica è perché ha paura di lui,NEGATIVE,fear
se non si muovono loro. e stiamo punto e daccapo. abbiamo altri. morti,NEGATIVE,sadness
questo si!!,POSITIVE,joy
la tengono la “ carabina”. la tengono ancora.,POSITIVE,anger
te lo dico io!!la tengono ancora!!,POSITIVE,anger
tengono ancora gli amici. questo è come dico io!! la terra bruciata. ne dovevano morire ancora una ventina. per tenere la terra bruciata intornoallora si!!,NEGATIVE,anger
la terra bruciata.,NEGATIVE,anger
paura.,NEGATIVE,sadness
eheè. lo diciamo noi. io non lo penso. che cazzo ne voglio fare. io!!,NEGATIVE,anger
non è che quello viene faccia a faccia. quando si sono messi una cosa in testa. ci capita uno per sotto che non c’entra niente (si riferisce agli appartenenti del clan graziano),NEGATIVE,anger
ehè. allora “quello“. (cava biagio)perché è. e mo ti fai fare come il fesso. tu.   ”quello”(cava biagio). hai capito o no? invece adesso. mo. lo vai trovando prima. una cosa era che. invece adesso. trovando.,NEGATIVE,anger
ma tu non lo puoi. uscire più.,NEGATIVE,sadness
non ti puoi più mettere in macchina e te ne vai.,POSITIVE,sadness
no ho mandato già a vedere a nola. (si riferisce al legale). no il numero ci sta sulla segreteria. ma non piglia. (la donna spiega al proprio figlio raffaele la strada per andare a casa di antonio,NEGATIVE,anger
ti devo dire una cosa. ho dovuto parlareperché quello non ci stava.,NEGATIVE,sadness
davvero.,POSITIVE,sadness
no. no. su questo. quello è preciso!!,POSITIVE,joy
non sia mai la madonna,POSITIVE,anger
no!!,NEGATIVE,anger
la sta tutto a postoehè.,POSITIVE,sadness
ho sbagliato a capire. io. allora,NEGATIVE,anger
mannaggia la miseria.,NEGATIVE,anger
no. no. non lo sapeva. hai capito?non lo sapeva!!,NEGATIVE,anger
il significato che questo mi è,POSITIVE,joy
ma come me lo dicesti tu. a me. così mi è sembrato il significatoio pensavo che avevi detto,POSITIVE,joy
ehè. va bene.,POSITIVE,sadness
va bene.,POSITIVE,fear
no. no. no. subito glielo dico. sbagliato non ho capito raffaele. io invece ho capito!!,NEGATIVE,anger
questo mi è sembrato.,POSITIVE,sadness
sopra al balconela finestra qua. per dietro qua. per dietro al muro. alzano la persiana ed entrano dentrose entra un’altra volta così lo butto dal balcone,NEGATIVE,sadness
mannaggia la miseria.,NEGATIVE,anger
zia ma questi comunque,POSITIVE,joy
mannaggia la miseria,NEGATIVE,anger
mannaggia la miseria.,NEGATIVE,anger
ehè. zia. mo non ti. ma poi “ questi” (si riferisce alle ff.oo). mannaggia la miseria. non. chi è. “ quelli”. sono convinti che sta qua. no?,NEGATIVE,anger
mannaggia la miseria. ” questi ” (si riferisce alle ff.oo). sono convintiproprio che sta qua. si buttanotroviamo.,NEGATIVE,anger
sopraqualcosa. “ che cosa è. che non è!!” non si sa nemmeno,NEGATIVE,anger
ehè. ma niente. niente. un mese. due mesi. se era qualcosa” no. si. è venuto uno mi ha detto. ha fatto(). non so dirti.,NEGATIVE,sadness
e si avrebbe liberato. ” è meglio con pistola. ” si è inguaiato.,NEGATIVE,anger
e va bene.,POSITIVE,sadness
_. - non sta bene. no il problema. stava. perché non si trovi' va l fascicolo. l -,NEGATIVE,sadness
non si trovava la pratica. scomparsa. hanno messo le carte sotto sopra. le hanno trovate in un altro fascicolo. dopo due ora.,NEGATIVE,sadness
"e non è che michele viene a dire - "" compà (cava raffaele) ma tu poi se vuoi aggiustare la casa. i soldi mo. la fascia rossa. io volevano raggirare. quello è andato preciso capendo la situazione. si è sentito prendere. terremoto. è. è. quello quando parte non.",NEGATIVE,anger
però nemmeno io. a me lo ha detto. che noi sopra iq non ci andare. (non ci dovete andare).,NEGATIVE,anger
pure io lo sapevo. però non.,NEGATIVE,sadness
"stanno la i soldi. "" però ci sta un problema. perché qua i soldi il comune non li può toccare. perché li va trovando `chio' - chio' (graziano felice). questo è il problema zio luigi. lo vuoi sapere?? questo è il problema!!",NEGATIVE,anger
"ehè. c'entra. come non c'entra. "" fattelo spiegare da chi sta in mezzo"" (appartiene a delle famiglie camorristiche nella fattispecie clan cava). "" chio' - chio' (avrebbe detto) tu i soldi li dai a me. se non a me. non si danno a nessuno. "". ha capito il problema dove sta!!i soldi che non. da tanto tempo. ma tempo. tempo. tempo che sono fermi questi soldi. ma il problema e di darli a papà (suocero cava raffaele). a tutti quanti. mica solo per papà. vuole i soldi che deve aggiustare il palazzo (si riferisce all'abitazione di cava raffaele che indicano con il nome di palazzo)",NEGATIVE,anger
ahà. ho capito. ma io non avevo capito.,NEGATIVE,sadness
ma. poi vi dico il problema com'è. avete capito?? il problema e questo. zio luigi che non danno questi soldi. i soldi stanno la fermi. da tempo. da tempo.,NEGATIVE,anger
è una cosa insostenibile. quando tu pretendi vicino a me.,NEGATIVE,anger
"quello la.  era renato. (ferrentino renato). eheèè. ""liberato"" (santaniello liberato - sindaco presso il comune di quindici). non sapeva manco la situazione com'era. perché non c'è stato in mezzo. non sapeva nemmeno. in_c. la pratica non si trovava. lui. ed ecco qua. questo è stato.",NEGATIVE,sadness
questo è.,POSITIVE,sadness
"no quello. ci ha. lo hanno fattq - innervosire. ha esagerato. - "" ti sparo. non ti sparo. "". tu spari - ed io chiamo i carabinieri. ahaà. vuoi chiamare i carabinieri. e chiamali i carabinieri. l - li hanno chiamati i carabinieri??",NEGATIVE,anger
ma sono andati dopo?? (si inforna circa l'intervento dei carabinieri) l - vi dico una bugia.,NEGATIVE,anger
chiara.,POSITIVE,sadness
no. no. non chiara. li ho fatto i soldi. allora se.,NEGATIVE,anger
buon appetito.,POSITIVE,joy
"e non c’è male, come si fa all’italia, qua fa caldo che non si può stare, qua in america,",POSITIVE,sadness
buono !,POSITIVE,joy
buonasera sono michele palmese,POSITIVE,joy
"si, si, buonasera don michele ,",POSITIVE,joy
"buonasera, io ho avuto tre giorni il telefono rotto adesso me l’hanno dato, vedi, non ho saputo  niente più, ne di voi, ne di là ,",POSITIVE,sadness
"no! io provai a chiamare là, no,",NEGATIVE,sadness
"perché io ho provato a chiamare voi, e non prendeva,",NEGATIVE,sadness
"va bene, michelì grazie,",POSITIVE,joy
don michele grazie,POSITIVE,joy
ma è impossibile.,NEGATIVE,sadness
non li ha pagati questi qua.,NEGATIVE,anger
eheeeeè. non tiene i soldi probabilmente.,NEGATIVE,anger
"eheè, non tiene i soldi.",NEGATIVE,anger
"adesso mi informo se sta a napoli in albergo, avete fatto bene a chiamarmi.",POSITIVE,anger
"si, signatura significa irregolare. mannaggia.",NEGATIVE,anger
"la firma è irregolare, cioè la firma che ha messo questo cacchio sotto qua.",NEGATIVE,anger
"ho capito . va bene, vengo lunedì mattina.",POSITIVE,sadness
"va bene, arrivederci signor palmese.",POSITIVE,joy
"grazie, arrivederci.",POSITIVE,joy
direttore buongiorno.,POSITIVE,joy
"eheè. comunque, io ho telefonato in america, no. e devo telefonare oggi pomeriggio verso le sei / sette perchè adesso stanno dormendo.",NEGATIVE,fear
va bene.,POSITIVE,fear
va bene.,POSITIVE,fear
va bene.,POSITIVE,fear
"ciao, buona giornata.",POSITIVE,joy
si. ma domani mattina. io stamattina sono venutoho parlato con il      direttore via telefono. che non c'era.,NEGATIVE,sadness
non mi ha dettto niente.,POSITIVE,sadness
va bene. domani io non ci sto.,POSITIVE,sadness
commendatore buongiorno,POSITIVE,joy
tutto a posto?,POSITIVE,sadness
biagio). ma che cazzo quello quando chiede una cosadobbiamo.,NEGATIVE,anger
va bene dai!,POSITIVE,joy
alla faccia del cazzo. (ridono). si può transitare con la macchina?,NEGATIVE,anger
ci sono sempre i soliti là. poi ti vedono là e pensano che tu stai con loro. hai visto cosa dicono le personeallora io evito proprio. hai visto quando me ne sono andato a milano. la gente subito ha pensato. hai visto cosa andavano dicendo dopo la gente .,POSITIVE,anger
"allora io evito di fare casino. io me ne andai a milano la gente andava dicendo che io mi ero andato a prendere la camorra con andrea (daniele andrea) con fiore(mazzocca fiore alberto)che io sono due tre anni che io non esco con loro, vedi la gente cosa va a pensare. (fa riferimento all’intimidazione fatta agli operai della ditta schiavo all’interno del ristorante denominato aiello)perciò quando li vedo al bar. non perché ci stanno loro. per evitare che stiamo quasi insieme per là dentro.",NEGATIVE,anger
adesso è impossibile per te,NEGATIVE,sadness
"capisci non puoi entrare niente. fino ad ora mi ha chiamato stasera dopo dodici giorni. lui mi ha chiamato stasera per dodici minuti dopo hanno chiuso il telefono. ha detto se chiama. lui le capisce queste parole. le cose si sono un poco complicate non è il momento adesso aspetta lui quando ti dirà che il tempo è buono, perché se viene va perdendo tempo non può venire",POSITIVE,sadness
ma sta bene?,POSITIVE,sadness
"ma ancora non può chiamare ancora. e proprio difficile, fino ad ora nemmeno a me ha chiamatoha chiamato a casa di mia mamma, perché il numero nostro a casa  non è buono. capisci? non può chiamare a me a casa.",NEGATIVE,sadness
"lui tiene 300 minuti di conversazione al mese. ma ogni volta che lui fa una telefonata gliela fanno durare 12 minuti, poi gli chiudono la conversazione.",NEGATIVE,anger
tutto a posto?,POSITIVE,sadness
si tutto a posto. a te?,POSITIVE,sadness
tutto a posto.,POSITIVE,sadness
allora stai bene.,POSITIVE,sadness
si sto fresco. (ridono),POSITIVE,joy
si ho detto mi dispiace.,NEGATIVE,sadness
"ti ha detto così, a posto.",POSITIVE,sadness
"si va bene, ci sentiamo.",POSITIVE,sadness
a te tutto a posto (si risentiranno e si salutano).,POSITIVE,sadness
va bene diglielo quando torna che ho chiamatofammi fare un colpo di telefono. ma io non lo soio non mi sono mossol’aspettavoquesto quanon è venutonon è venuto nemmeno il cazzo qua(si arrabbia),NEGATIVE,anger
quanto è vero la madonna del carmine!!!,POSITIVE,joy
no!! io vi ho chiamato molte volte.,NEGATIVE,sadness
"il telefono, a me se lo rubarono e per un mese io no l’ho tenuto.",NEGATIVE,anger
"me lo hanno dato un’altra volta ed è lo stesso numero però io vi ho chiamato anche da vittorio; vi ho chiamato anche con il telefonino di un uomo, la giornata dei funerali, alla presenza di vittorio che mi diede il numero, e non rispondevi mai.",NEGATIVE,sadness
"eh. lo sò, ma io non potevo parlare, e non potevo venire.",NEGATIVE,sadness
madonna come si è fatto!!! ieri sera è stato con me come si è fatto!!,POSITIVE,joy
"eh non lo sò, quello stà camminando con la veste addosso, quella là per i proiettili(giubbotto antiproiettile) e ieri sera mi ha fatto mettere paura.",POSITIVE,fear
"ah. quello si è fatto metà, si. quardate si deve fare qualcosa per questo giovane,io ieri l’ho messo in croce per farlo venire quà, perchè, questi gli hanno aperto questo ristorante, e veramente hanno fatto una cosa grandiosa.",POSITIVE,joy
"e lui non ci stava quando abbiamo fatto l’apertura, e questo. e quell’altro. e allora io ieri, lo chiamai e gli dissi mi devi fare il piacere, mi devi dare questa soddisfazione di venire a fare una mangiata con me, in onore di tuo padre",POSITIVE,joy
"quello non ci voleva venire. e non ci voleva venire!!! poi dopo si convinse, e chiamò mindì e il bambino giò, e vennero tutti e tre. quando lo vidi mi fece “squartare il cuore”,si è fatto la metà.",POSITIVE,sadness
"eh quello è un bravo ragazzo, mannaggia.",POSITIVE,joy
madonna che bravo ragazzo!! quello.,POSITIVE,joy
ma pure io stò piangendo sempre.,NEGATIVE,sadness
"madonna quanto pianto abbiamo fatto, tutti quanti, quelli in chiesa non ci entrava un chicco di grano (pieno),poi quando stavamo in chiesa, lui fece da mangiare in. (indecifrabile), e da lì vi chiamammo, io vi chiamai la sera com’era successo vi chiamai.",POSITIVE,sadness
e non mi avete. quanto è vero il dio.,POSITIVE,joy
"va bene, ma quello quando è chiuso il negozio,che cazzo telefonate a fare!!là.",NEGATIVE,anger
"eh. eh. è questo il telefonino, oi. funziona sempre a me, ho parlato con lui un sacco di volte.",POSITIVE,joy
eh non ho capito perchè risultava occupato.,NEGATIVE,anger
"mo diteglielo che quello scemo che doveva venire da me, quà non è venuto che deve venire lui.",NEGATIVE,anger
ebbene io lo tengo quà.,POSITIVE,sadness
"eh, comunque io vi volevo dare anche gli auguri per natale, ho detto ma che cazzo è successo.",NEGATIVE,anger
"eh stato un brutto natale, don michele.",NEGATIVE,sadness
"eh lo so. lo so. per tutti quanti, comunque.",POSITIVE,joy
"eh stato un brutto natale, a morire perchè quà stiamo piangendo ancora perchè lui a natale, quello che faceva lui, non lo faceva, nessuno.",NEGATIVE,sadness
"scaricava macchine di pesce, comprava pesce fresco, e quà nessuno ha mangiato il capitone quest’anno, perchè lui lo portava a tutti quanti.",POSITIVE,anger
eh stato uno strazio.,NEGATIVE,sadness
"io non mi sono mosso da allora, non sono uscito di casa per aspettare che mi chiamavano, facevano, non è venuto nessuno. ditegli, che viene lui, a tutti i costi, io non possso.",NEGATIVE,anger
un abbraccio signora!!,POSITIVE,joy
ma pure a voi pensate a stare bene.,POSITIVE,sadness
eh sono stato un po malato,NEGATIVE,sadness
non bene è?,NEGATIVE,sadness
quello vuole che mi porta a me,POSITIVE,joy
ma voi non dovete ridere quelle sono cose serie voi ridete,POSITIVE,anger
"questo sta male questo ragazzo, bisogna dargli una mano, io non mi posso muovere, se no già sarei venuto li",NEGATIVE,sadness
"io sto sempre sempre, mo è venuto a casa ieri ed oggi, la prima volta anche",POSITIVE,joy
eh buono,POSITIVE,fear
"eh pure io, mi ha fatto male più a me",NEGATIVE,sadness
"io so perduto, io mi sono proprio perso",NEGATIVE,sadness
io sono bravo.,POSITIVE,joy
va buono,POSITIVE,fear
"comunque date un abbraccio alla signora anche da parte di mia moglie, purtroppo noi non siamo potuti venire. indec.",NEGATIVE,sadness
"questo è come il ragazzo mio, voi lo sapete",POSITIVE,joy
"stategli vicino, io sto a disposizione, purtroppo non posso venire, se potevo venire già stavo li",NEGATIVE,sadness
se mi sento bene.,POSITIVE,sadness
